ອ	LAO LETTER O (U+0EAD)	e0baad
ဎ	MYANMAR LETTER DDHA (U+100E)	e1808e
ဏ	MYANMAR LETTER NNA (U+100F)	e1808f
တ	MYANMAR LETTER TA (U+1010)	e18090
ထ	MYANMAR LETTER THA (U+1011)	e18091
ဒ	MYANMAR LETTER DA (U+1012)	e18092
ဓ	MYANMAR LETTER DHA (U+1013)	e18093
န	MYANMAR LETTER NA (U+1014)	e18094
ပ	MYANMAR LETTER PA (U+1015)	e18095
ဖ	MYANMAR LETTER PHA (U+1016)	e18096
ဗ	MYANMAR LETTER BA (U+1017)	e18097
ဘ	MYANMAR LETTER BHA (U+1018)	e18098
မ	MYANMAR LETTER MA (U+1019)	e18099
ယ	MYANMAR LETTER YA (U+101A)	e1809a
ရ	MYANMAR LETTER RA (U+101B)	e1809b
လ	MYANMAR LETTER LA (U+101C)	e1809c
ဝ	MYANMAR LETTER WA (U+101D)	e1809d
သ	MYANMAR LETTER SA (U+101E)	e1809e
ဟ	MYANMAR LETTER HA (U+101F)	e1809f
ဠ	MYANMAR LETTER LLA (U+1020)	e180a0
အ	MYANMAR LETTER A (U+1021)	e180a1
ဢ	MYANMAR LETTER SHAN A (U+1022)	e180a2
ဣ	MYANMAR LETTER I (U+1023)	e180a3
ဤ	MYANMAR LETTER II (U+1024)	e180a4
ဥ	MYANMAR LETTER U (U+1025)	e180a5
ဦ	MYANMAR LETTER UU (U+1026)	e180a6
ဧ	MYANMAR LETTER E (U+1027)	e180a7
ဨ	MYANMAR LETTER MON E (U+1028)	e180a8
ဩ	MYANMAR LETTER O (U+1029)	e180a9
ဪ	MYANMAR LETTER AU (U+102A)	e180aa
ါ	MYANMAR VOWEL SIGN TALL AA (U+102B)	e180ab
ာ	MYANMAR VOWEL SIGN AA (U+102C)	e180ac
ိ	MYANMAR VOWEL SIGN I (U+102D)	e180ad
ီ	MYANMAR VOWEL SIGN II (U+102E)	e180ae
ု	MYANMAR VOWEL SIGN U (U+102F)	e180af
ူ	MYANMAR VOWEL SIGN UU (U+1030)	e180b0
ေ	MYANMAR VOWEL SIGN E (U+1031)	e180b1
ဲ	MYANMAR VOWEL SIGN AI (U+1032)	e180b2
ဳ	MYANMAR VOWEL SIGN MON II (U+1033)	e180b3
