𦖑	U+26591 (U+26591)	f0a69691
𦖒	U+26592 (U+26592)	f0a69692
𦖓	U+26593 (U+26593)	f0a69693
𦖔	U+26594 (U+26594)	f0a69694
𦖕	U+26595 (U+26595)	f0a69695
𦖖	U+26596 (U+26596)	f0a69696
𦖗	U+26597 (U+26597)	f0a69697
𦖘	U+26598 (U+26598)	f0a69698
𦖙	U+26599 (U+26599)	f0a69699
𦖚	U+2659A (U+2659A)	f0a6969a
𦖛	U+2659B (U+2659B)	f0a6969b
𦖜	U+2659C (U+2659C)	f0a6969c
𦖝	U+2659D (U+2659D)	f0a6969d
𦖞	U+2659E (U+2659E)	f0a6969e
𦖟	U+2659F (U+2659F)	f0a6969f
𦖠	U+265A0 (U+265A0)	f0a696a0
𦖡	U+265A1 (U+265A1)	f0a696a1
𦖢	U+265A2 (U+265A2)	f0a696a2
𦖣	U+265A3 (U+265A3)	f0a696a3
𦖤	U+265A4 (U+265A4)	f0a696a4
𦖥	U+265A5 (U+265A5)	f0a696a5
