𠕐	U+20550 (U+20550)	f0a09590
𠕑	U+20551 (U+20551)	f0a09591
𠕒	U+20552 (U+20552)	f0a09592
𠕓	U+20553 (U+20553)	f0a09593
𠕔	U+20554 (U+20554)	f0a09594
𠕕	U+20555 (U+20555)	f0a09595
𠕖	U+20556 (U+20556)	f0a09596
𠕗	U+20557 (U+20557)	f0a09597
𠕘	U+20558 (U+20558)	f0a09598
𠕙	U+20559 (U+20559)	f0a09599
𠕚	U+2055A (U+2055A)	f0a0959a
𠕛	U+2055B (U+2055B)	f0a0959b
𠕜	U+2055C (U+2055C)	f0a0959c
𠕝	U+2055D (U+2055D)	f0a0959d
𠕞	U+2055E (U+2055E)	f0a0959e
𠕟	U+2055F (U+2055F)	f0a0959f
𠕠	U+20560 (U+20560)	f0a095a0
𠕡	U+20561 (U+20561)	f0a095a1
𠕢	U+20562 (U+20562)	f0a095a2
𠕣	U+20563 (U+20563)	f0a095a3
𠕤	U+20564 (U+20564)	f0a095a4
𠕥	U+20565 (U+20565)	f0a095a5
𠕦	U+20566 (U+20566)	f0a095a6
𠕧	U+20567 (U+20567)	f0a095a7
𠕨	U+20568 (U+20568)	f0a095a8
𠕩	U+20569 (U+20569)	f0a095a9
𠕪	U+2056A (U+2056A)	f0a095aa
𠕫	U+2056B (U+2056B)	f0a095ab
𠕬	U+2056C (U+2056C)	f0a095ac
𠕭	U+2056D (U+2056D)	f0a095ad
𠕮	U+2056E (U+2056E)	f0a095ae
𠕯	U+2056F (U+2056F)	f0a095af
𠕰	U+20570 (U+20570)	f0a095b0
𠕱	U+20571 (U+20571)	f0a095b1
𠕲	U+20572 (U+20572)	f0a095b2
𠕳	U+20573 (U+20573)	f0a095b3
𠕴	U+20574 (U+20574)	f0a095b4
𠕵	U+20575 (U+20575)	f0a095b5
𠕶	U+20576 (U+20576)	f0a095b6
𠕷	U+20577 (U+20577)	f0a095b7
𠕸	U+20578 (U+20578)	f0a095b8
𠕹	U+20579 (U+20579)	f0a095b9
𠕺	U+2057A (U+2057A)	f0a095ba
𠕻	U+2057B (U+2057B)	f0a095bb
𠕼	U+2057C (U+2057C)	f0a095bc
𠕽	U+2057D (U+2057D)	f0a095bd
𠕾	U+2057E (U+2057E)	f0a095be
𠕿	U+2057F (U+2057F)	f0a095bf
𠖀	U+20580 (U+20580)	f0a09680
𠖁	U+20581 (U+20581)	f0a09681
𠖂	U+20582 (U+20582)	f0a09682
𠖃	U+20583 (U+20583)	f0a09683
𠖄	U+20584 (U+20584)	f0a09684
𠖅	U+20585 (U+20585)	f0a09685
𠖆	U+20586 (U+20586)	f0a09686
𠖇	U+20587 (U+20587)	f0a09687
𠖈	U+20588 (U+20588)	f0a09688
𠖉	U+20589 (U+20589)	f0a09689
𠖊	U+2058A (U+2058A)	f0a0968a
𠖋	U+2058B (U+2058B)	f0a0968b
𠖌	U+2058C (U+2058C)	f0a0968c
𠖍	U+2058D (U+2058D)	f0a0968d
𠖎	U+2058E (U+2058E)	f0a0968e
𠖏	U+2058F (U+2058F)	f0a0968f
𠖐	U+20590 (U+20590)	f0a09690
𠖑	U+20591 (U+20591)	f0a09691
𠖒	U+20592 (U+20592)	f0a09692
𠖓	U+20593 (U+20593)	f0a09693
𠖔	U+20594 (U+20594)	f0a09694
𠖕	U+20595 (U+20595)	f0a09695
𠖖	U+20596 (U+20596)	f0a09696
𠖗	U+20597 (U+20597)	f0a09697
𠖘	U+20598 (U+20598)	f0a09698
𠖙	U+20599 (U+20599)	f0a09699
𠖚	U+2059A (U+2059A)	f0a0969a
𠖛	U+2059B (U+2059B)	f0a0969b
𠖜	U+2059C (U+2059C)	f0a0969c
𠖝	U+2059D (U+2059D)	f0a0969d
𠖞	U+2059E (U+2059E)	f0a0969e
𠖟	U+2059F (U+2059F)	f0a0969f
𠖠	U+205A0 (U+205A0)	f0a096a0
𠖡	U+205A1 (U+205A1)	f0a096a1
𠖢	U+205A2 (U+205A2)	f0a096a2
𠖣	U+205A3 (U+205A3)	f0a096a3
