𧥬	U+2796C (U+2796C)	f0a7a5ac
𧥭	U+2796D (U+2796D)	f0a7a5ad
𧥮	U+2796E (U+2796E)	f0a7a5ae
𧥯	U+2796F (U+2796F)	f0a7a5af
𧥰	U+27970 (U+27970)	f0a7a5b0
𧥱	U+27971 (U+27971)	f0a7a5b1
𧥲	U+27972 (U+27972)	f0a7a5b2
𧥳	U+27973 (U+27973)	f0a7a5b3
𧥴	U+27974 (U+27974)	f0a7a5b4
𧥵	U+27975 (U+27975)	f0a7a5b5
𧥶	U+27976 (U+27976)	f0a7a5b6
𧥷	U+27977 (U+27977)	f0a7a5b7
𧥸	U+27978 (U+27978)	f0a7a5b8
𧥹	U+27979 (U+27979)	f0a7a5b9
𧥺	(Cant.) to fool, deceive, hoodwink (U+2797A)	f0a7a5ba
𧥻	U+2797B (U+2797B)	f0a7a5bb
𧥼	U+2797C (U+2797C)	f0a7a5bc
𧥽	U+2797D (U+2797D)	f0a7a5bd
𧥾	U+2797E (U+2797E)	f0a7a5be
𧥿	U+2797F (U+2797F)	f0a7a5bf
𧦀	U+27980 (U+27980)	f0a7a680
𧦁	U+27981 (U+27981)	f0a7a681
𧦂	U+27982 (U+27982)	f0a7a682
𧦃	U+27983 (U+27983)	f0a7a683
𧦄	U+27984 (U+27984)	f0a7a684
𧦅	U+27985 (U+27985)	f0a7a685
𧦆	U+27986 (U+27986)	f0a7a686
𧦇	U+27987 (U+27987)	f0a7a687
𧦈	U+27988 (U+27988)	f0a7a688
𧦉	U+27989 (U+27989)	f0a7a689
𧦊	U+2798A (U+2798A)	f0a7a68a
𧦋	U+2798B (U+2798B)	f0a7a68b
