𡴤	U+21D24 (U+21D24)	f0a1b4a4
𡴥	U+21D25 (U+21D25)	f0a1b4a5
𡴦	U+21D26 (U+21D26)	f0a1b4a6
𡴧	U+21D27 (U+21D27)	f0a1b4a7
𡴨	U+21D28 (U+21D28)	f0a1b4a8
𡴩	U+21D29 (U+21D29)	f0a1b4a9
𡴪	U+21D2A (U+21D2A)	f0a1b4aa
𡴫	U+21D2B (U+21D2B)	f0a1b4ab
𡴬	U+21D2C (U+21D2C)	f0a1b4ac
𡴭	U+21D2D (U+21D2D)	f0a1b4ad
𡴮	U+21D2E (U+21D2E)	f0a1b4ae
𡴯	U+21D2F (U+21D2F)	f0a1b4af
𡴰	U+21D30 (U+21D30)	f0a1b4b0
𡴱	U+21D31 (U+21D31)	f0a1b4b1
𡴲	U+21D32 (U+21D32)	f0a1b4b2
𡴳	U+21D33 (U+21D33)	f0a1b4b3
𡴴	U+21D34 (U+21D34)	f0a1b4b4
𡴵	U+21D35 (U+21D35)	f0a1b4b5
𡴶	U+21D36 (U+21D36)	f0a1b4b6
𡴷	U+21D37 (U+21D37)	f0a1b4b7
𡴸	U+21D38 (U+21D38)	f0a1b4b8
𡴹	U+21D39 (U+21D39)	f0a1b4b9
𡴺	U+21D3A (U+21D3A)	f0a1b4ba
𡴻	U+21D3B (U+21D3B)	f0a1b4bb
𡴼	U+21D3C (U+21D3C)	f0a1b4bc
𡴽	U+21D3D (U+21D3D)	f0a1b4bd
𡴾	U+21D3E (U+21D3E)	f0a1b4be
𡴿	U+21D3F (U+21D3F)	f0a1b4bf
𡵀	U+21D40 (U+21D40)	f0a1b580
𡵁	U+21D41 (U+21D41)	f0a1b581
𡵂	U+21D42 (U+21D42)	f0a1b582
𡵃	U+21D43 (U+21D43)	f0a1b583
𡵄	U+21D44 (U+21D44)	f0a1b584
𡵅	U+21D45 (U+21D45)	f0a1b585
𡵆	U+21D46 (U+21D46)	f0a1b586
𡵇	U+21D47 (U+21D47)	f0a1b587
𡵈	U+21D48 (U+21D48)	f0a1b588
𡵉	U+21D49 (U+21D49)	f0a1b589
𡵊	U+21D4A (U+21D4A)	f0a1b58a
𡵋	U+21D4B (U+21D4B)	f0a1b58b
𡵌	U+21D4C (U+21D4C)	f0a1b58c
𡵍	U+21D4D (U+21D4D)	f0a1b58d
𡵎	U+21D4E (U+21D4E)	f0a1b58e
𡵏	U+21D4F (U+21D4F)	f0a1b58f
𡵐	U+21D50 (U+21D50)	f0a1b590
𡵑	U+21D51 (U+21D51)	f0a1b591
𡵒	U+21D52 (U+21D52)	f0a1b592
𡵓	U+21D53 (U+21D53)	f0a1b593
𡵔	U+21D54 (U+21D54)	f0a1b594
𡵕	U+21D55 (U+21D55)	f0a1b595
𡵖	U+21D56 (U+21D56)	f0a1b596
𡵗	U+21D57 (U+21D57)	f0a1b597
𡵘	U+21D58 (U+21D58)	f0a1b598
𡵙	U+21D59 (U+21D59)	f0a1b599
𡵚	U+21D5A (U+21D5A)	f0a1b59a
𡵛	U+21D5B (U+21D5B)	f0a1b59b
𡵜	U+21D5C (U+21D5C)	f0a1b59c
𡵝	U+21D5D (U+21D5D)	f0a1b59d
𡵞	U+21D5E (U+21D5E)	f0a1b59e
𡵟	U+21D5F (U+21D5F)	f0a1b59f
𡵠	U+21D60 (U+21D60)	f0a1b5a0
𡵡	U+21D61 (U+21D61)	f0a1b5a1
𡵢	U+21D62 (U+21D62)	f0a1b5a2
𡵣	U+21D63 (U+21D63)	f0a1b5a3
