𡃪	U+210EA (U+210EA)	f0a183aa
𡃫	U+210EB (U+210EB)	f0a183ab
𡃬	U+210EC (U+210EC)	f0a183ac
𡃭	U+210ED (U+210ED)	f0a183ad
𡃮	U+210EE (U+210EE)	f0a183ae
𡃯	U+210EF (U+210EF)	f0a183af
𡃰	U+210F0 (U+210F0)	f0a183b0
𡃱	U+210F1 (U+210F1)	f0a183b1
𡃲	U+210F2 (U+210F2)	f0a183b2
𡃳	U+210F3 (U+210F3)	f0a183b3
𡃴	(Cant.) smell, odor (U+210F4)	f0a183b4
𡃵	(Cant.) to cover, bury; push from behind (U+210F5)	f0a183b5
𡃶	(Cant.) to like, love; to kiss (U+210F6)	f0a183b6
𡃷	U+210F7 (U+210F7)	f0a183b7
𡃸	U+210F8 (U+210F8)	f0a183b8
𡃹	U+210F9 (U+210F9)	f0a183b9
𡃺	U+210FA (U+210FA)	f0a183ba
𡃻	U+210FB (U+210FB)	f0a183bb
𡃼	U+210FC (U+210FC)	f0a183bc
𡃽	U+210FD (U+210FD)	f0a183bd
𡃾	U+210FE (U+210FE)	f0a183be
𡃿	U+210FF (U+210FF)	f0a183bf
𡄀	U+21100 (U+21100)	f0a18480
𡄁	U+21101 (U+21101)	f0a18481
𡄂	U+21102 (U+21102)	f0a18482
𡄃	U+21103 (U+21103)	f0a18483
𡄄	U+21104 (U+21104)	f0a18484
𡄅	U+21105 (U+21105)	f0a18485
𡄆	U+21106 (U+21106)	f0a18486
𡄇	U+21107 (U+21107)	f0a18487
𡄈	U+21108 (U+21108)	f0a18488
𡄉	U+21109 (U+21109)	f0a18489
𡄊	U+2110A (U+2110A)	f0a1848a
𡄋	U+2110B (U+2110B)	f0a1848b
𡄌	U+2110C (U+2110C)	f0a1848c
𡄍	U+2110D (U+2110D)	f0a1848d
𡄎	U+2110E (U+2110E)	f0a1848e
𡄏	U+2110F (U+2110F)	f0a1848f
𡄐	U+21110 (U+21110)	f0a18490
𡄑	U+21111 (U+21111)	f0a18491
𡄒	U+21112 (U+21112)	f0a18492
𡄓	U+21113 (U+21113)	f0a18493
𡄔	U+21114 (U+21114)	f0a18494
𡄕	U+21115 (U+21115)	f0a18495
𡄖	U+21116 (U+21116)	f0a18496
𡄗	U+21117 (U+21117)	f0a18497
𡄘	U+21118 (U+21118)	f0a18498
𡄙	U+21119 (U+21119)	f0a18499
𡄚	U+2111A (U+2111A)	f0a1849a
𡄛	U+2111B (U+2111B)	f0a1849b
𡄜	U+2111C (U+2111C)	f0a1849c
𡄝	U+2111D (U+2111D)	f0a1849d
𡄞	U+2111E (U+2111E)	f0a1849e
𡄟	(Cant.) onomatopoetic, the sound of panting (U+2111F)	f0a1849f
𡄠	U+21120 (U+21120)	f0a184a0
𡄡	U+21121 (U+21121)	f0a184a1
𡄢	U+21122 (U+21122)	f0a184a2
𡄣	U+21123 (U+21123)	f0a184a3
𡄤	U+21124 (U+21124)	f0a184a4
𡄥	U+21125 (U+21125)	f0a184a5
𡄦	U+21126 (U+21126)	f0a184a6
𡄧	U+21127 (U+21127)	f0a184a7
𡄨	U+21128 (U+21128)	f0a184a8
𡄩	U+21129 (U+21129)	f0a184a9
𡄪	U+2112A (U+2112A)	f0a184aa
𡄫	U+2112B (U+2112B)	f0a184ab
𡄬	U+2112C (U+2112C)	f0a184ac
𡄭	U+2112D (U+2112D)	f0a184ad
𡄮	U+2112E (U+2112E)	f0a184ae
𡄯	(Cant.) hiccough (U+2112F)	f0a184af
𡄰	U+21130 (U+21130)	f0a184b0
𡄱	U+21131 (U+21131)	f0a184b1
𡄲	U+21132 (U+21132)	f0a184b2
𡄳	U+21133 (U+21133)	f0a184b3
𡄴	U+21134 (U+21134)	f0a184b4
𡄵	(Cant.) to grin, laugh (U+21135)	f0a184b5
𡄶	U+21136 (U+21136)	f0a184b6
𡄷	U+21137 (U+21137)	f0a184b7
𡄸	U+21138 (U+21138)	f0a184b8
𡄹	U+21139 (U+21139)	f0a184b9
𡄺	U+2113A (U+2113A)	f0a184ba
𡄻	U+2113B (U+2113B)	f0a184bb
𡄼	U+2113C (U+2113C)	f0a184bc
𡄽	(Cant.) to slide down (U+2113D)	f0a184bd
𡄾	U+2113E (U+2113E)	f0a184be
𡄿	U+2113F (U+2113F)	f0a184bf
𡅀	U+21140 (U+21140)	f0a18580
𡅁	U+21141 (U+21141)	f0a18581
𡅂	U+21142 (U+21142)	f0a18582
𡅃	U+21143 (U+21143)	f0a18583
𡅄	U+21144 (U+21144)	f0a18584
𡅅	U+21145 (U+21145)	f0a18585
𡅆	U+21146 (U+21146)	f0a18586
𡅇	U+21147 (U+21147)	f0a18587
𡅈	(Cant.) a particle implying completion, certainty, or urgency (U+21148)	f0a18588
𡅉	U+21149 (U+21149)	f0a18589
𡅊	U+2114A (U+2114A)	f0a1858a
𡅋	U+2114B (U+2114B)	f0a1858b
𡅌	U+2114C (U+2114C)	f0a1858c
𡅍	U+2114D (U+2114D)	f0a1858d
𡅎	U+2114E (U+2114E)	f0a1858e
𡅏	(Cant.) to accuse, slander; to turn, sprain (U+2114F)	f0a1858f
𡅐	U+21150 (U+21150)	f0a18590
𡅑	U+21151 (U+21151)	f0a18591
𡅒	U+21152 (U+21152)	f0a18592
𡅓	U+21153 (U+21153)	f0a18593
𡅔	U+21154 (U+21154)	f0a18594
𡅕	U+21155 (U+21155)	f0a18595
𡅖	U+21156 (U+21156)	f0a18596
𡅗	U+21157 (U+21157)	f0a18597
𡅘	U+21158 (U+21158)	f0a18598
𡅙	U+21159 (U+21159)	f0a18599
𡅚	U+2115A (U+2115A)	f0a1859a
𡅛	U+2115B (U+2115B)	f0a1859b
𡅜	U+2115C (U+2115C)	f0a1859c
𡅝	U+2115D (U+2115D)	f0a1859d
𡅞	U+2115E (U+2115E)	f0a1859e
𡅟	U+2115F (U+2115F)	f0a1859f
𡅠	U+21160 (U+21160)	f0a185a0
𡅡	U+21161 (U+21161)	f0a185a1
𡅢	U+21162 (U+21162)	f0a185a2
𡅣	U+21163 (U+21163)	f0a185a3
𡅤	U+21164 (U+21164)	f0a185a4
𡅥	U+21165 (U+21165)	f0a185a5
𡅦	U+21166 (U+21166)	f0a185a6
𡅧	U+21167 (U+21167)	f0a185a7
