🀦	MAHJONG TILE SPRING (U+1F026)	f09f80a6
🄹	SQUARED LATIN CAPITAL LETTER J (U+1F139)	f09f84b9
🄺	SQUARED LATIN CAPITAL LETTER K (U+1F13A)	f09f84ba
🄻	SQUARED LATIN CAPITAL LETTER L (U+1F13B)	f09f84bb
🄼	SQUARED LATIN CAPITAL LETTER M (U+1F13C)	f09f84bc
🄽	SQUARED LATIN CAPITAL LETTER N (U+1F13D)	f09f84bd
🄾	SQUARED LATIN CAPITAL LETTER O (U+1F13E)	f09f84be
🄿	SQUARED LATIN CAPITAL LETTER P (U+1F13F)	f09f84bf
🅀	SQUARED LATIN CAPITAL LETTER Q (U+1F140)	f09f8580
🅁	SQUARED LATIN CAPITAL LETTER R (U+1F141)	f09f8581
🅂	SQUARED LATIN CAPITAL LETTER S (U+1F142)	f09f8582
🅃	SQUARED LATIN CAPITAL LETTER T (U+1F143)	f09f8583
🅄	SQUARED LATIN CAPITAL LETTER U (U+1F144)	f09f8584
🅅	SQUARED LATIN CAPITAL LETTER V (U+1F145)	f09f8585
🅆	SQUARED LATIN CAPITAL LETTER W (U+1F146)	f09f8586
🅇	SQUARED LATIN CAPITAL LETTER X (U+1F147)	f09f8587
🅈	SQUARED LATIN CAPITAL LETTER Y (U+1F148)	f09f8588
🅉	SQUARED LATIN CAPITAL LETTER Z (U+1F149)	f09f8589
🅊	SQUARED HV (U+1F14A)	f09f858a
🅋	SQUARED MV (U+1F14B)	f09f858b
🅌	SQUARED SD (U+1F14C)	f09f858c
🅍	SQUARED SS (U+1F14D)	f09f858d
🅎	SQUARED PPV (U+1F14E)	f09f858e
🅏	SQUARED WC (U+1F14F)	f09f858f
🅐	NEGATIVE CIRCLED LATIN CAPITAL LETTER A (U+1F150)	f09f8590
🅑	NEGATIVE CIRCLED LATIN CAPITAL LETTER B (U+1F151)	f09f8591
🅒	NEGATIVE CIRCLED LATIN CAPITAL LETTER C (U+1F152)	f09f8592
🅓	NEGATIVE CIRCLED LATIN CAPITAL LETTER D (U+1F153)	f09f8593
🅔	NEGATIVE CIRCLED LATIN CAPITAL LETTER E (U+1F154)	f09f8594
🅕	NEGATIVE CIRCLED LATIN CAPITAL LETTER F (U+1F155)	f09f8595
🅖	NEGATIVE CIRCLED LATIN CAPITAL LETTER G (U+1F156)	f09f8596
🅗	NEGATIVE CIRCLED LATIN CAPITAL LETTER H (U+1F157)	f09f8597
🅘	NEGATIVE CIRCLED LATIN CAPITAL LETTER I (U+1F158)	f09f8598
🅙	NEGATIVE CIRCLED LATIN CAPITAL LETTER J (U+1F159)	f09f8599
🅚	NEGATIVE CIRCLED LATIN CAPITAL LETTER K (U+1F15A)	f09f859a
🅛	NEGATIVE CIRCLED LATIN CAPITAL LETTER L (U+1F15B)	f09f859b
🅜	NEGATIVE CIRCLED LATIN CAPITAL LETTER M (U+1F15C)	f09f859c
🅝	NEGATIVE CIRCLED LATIN CAPITAL LETTER N (U+1F15D)	f09f859d
🅞	NEGATIVE CIRCLED LATIN CAPITAL LETTER O (U+1F15E)	f09f859e
🅟	NEGATIVE CIRCLED LATIN CAPITAL LETTER P (U+1F15F)	f09f859f
🅠	NEGATIVE CIRCLED LATIN CAPITAL LETTER Q (U+1F160)	f09f85a0
🅡	NEGATIVE CIRCLED LATIN CAPITAL LETTER R (U+1F161)	f09f85a1
🅢	NEGATIVE CIRCLED LATIN CAPITAL LETTER S (U+1F162)	f09f85a2
🅣	NEGATIVE CIRCLED LATIN CAPITAL LETTER T (U+1F163)	f09f85a3
🅤	NEGATIVE CIRCLED LATIN CAPITAL LETTER U (U+1F164)	f09f85a4
🅥	NEGATIVE CIRCLED LATIN CAPITAL LETTER V (U+1F165)	f09f85a5
🅦	NEGATIVE CIRCLED LATIN CAPITAL LETTER W (U+1F166)	f09f85a6
🅧	NEGATIVE CIRCLED LATIN CAPITAL LETTER X (U+1F167)	f09f85a7
🅨	NEGATIVE CIRCLED LATIN CAPITAL LETTER Y (U+1F168)	f09f85a8
🅩	NEGATIVE CIRCLED LATIN CAPITAL LETTER Z (U+1F169)	f09f85a9
🅰	NEGATIVE SQUARED LATIN CAPITAL LETTER A (U+1F170)	f09f85b0
🅱	NEGATIVE SQUARED LATIN CAPITAL LETTER B (U+1F171)	f09f85b1
🅲	NEGATIVE SQUARED LATIN CAPITAL LETTER C (U+1F172)	f09f85b2
🅳	NEGATIVE SQUARED LATIN CAPITAL LETTER D (U+1F173)	f09f85b3
🅴	NEGATIVE SQUARED LATIN CAPITAL LETTER E (U+1F174)	f09f85b4
🅵	NEGATIVE SQUARED LATIN CAPITAL LETTER F (U+1F175)	f09f85b5
🅶	NEGATIVE SQUARED LATIN CAPITAL LETTER G (U+1F176)	f09f85b6
🅷	NEGATIVE SQUARED LATIN CAPITAL LETTER H (U+1F177)	f09f85b7
🅸	NEGATIVE SQUARED LATIN CAPITAL LETTER I (U+1F178)	f09f85b8
🅹	NEGATIVE SQUARED LATIN CAPITAL LETTER J (U+1F179)	f09f85b9
🅺	NEGATIVE SQUARED LATIN CAPITAL LETTER K (U+1F17A)	f09f85ba
🅻	NEGATIVE SQUARED LATIN CAPITAL LETTER L (U+1F17B)	f09f85bb
🅼	NEGATIVE SQUARED LATIN CAPITAL LETTER M (U+1F17C)	f09f85bc
🅽	NEGATIVE SQUARED LATIN CAPITAL LETTER N (U+1F17D)	f09f85bd
🅾	NEGATIVE SQUARED LATIN CAPITAL LETTER O (U+1F17E)	f09f85be
🅿	NEGATIVE SQUARED LATIN CAPITAL LETTER P (U+1F17F)	f09f85bf
🆀	NEGATIVE SQUARED LATIN CAPITAL LETTER Q (U+1F180)	f09f8680
🆁	NEGATIVE SQUARED LATIN CAPITAL LETTER R (U+1F181)	f09f8681
🆂	NEGATIVE SQUARED LATIN CAPITAL LETTER S (U+1F182)	f09f8682
🆃	NEGATIVE SQUARED LATIN CAPITAL LETTER T (U+1F183)	f09f8683
🆄	NEGATIVE SQUARED LATIN CAPITAL LETTER U (U+1F184)	f09f8684
🆅	NEGATIVE SQUARED LATIN CAPITAL LETTER V (U+1F185)	f09f8685
🆆	NEGATIVE SQUARED LATIN CAPITAL LETTER W (U+1F186)	f09f8686
🆇	NEGATIVE SQUARED LATIN CAPITAL LETTER X (U+1F187)	f09f8687
🆈	NEGATIVE SQUARED LATIN CAPITAL LETTER Y (U+1F188)	f09f8688
🆉	NEGATIVE SQUARED LATIN CAPITAL LETTER Z (U+1F189)	f09f8689
🆊	CROSSED NEGATIVE SQUARED LATIN CAPITAL LETTER P (U+1F18A)	f09f868a
🆋	NEGATIVE SQUARED IC (U+1F18B)	f09f868b
🆌	NEGATIVE SQUARED PA (U+1F18C)	f09f868c
🆍	NEGATIVE SQUARED SA (U+1F18D)	f09f868d
