𢂶	U+220B6 (U+220B6)	f0a282b6
𢂷	U+220B7 (U+220B7)	f0a282b7
𢂸	U+220B8 (U+220B8)	f0a282b8
𢂹	U+220B9 (U+220B9)	f0a282b9
𢂺	U+220BA (U+220BA)	f0a282ba
𢂻	U+220BB (U+220BB)	f0a282bb
𢂼	U+220BC (U+220BC)	f0a282bc
𢂽	U+220BD (U+220BD)	f0a282bd
𢂾	U+220BE (U+220BE)	f0a282be
𢂿	U+220BF (U+220BF)	f0a282bf
𢃀	U+220C0 (U+220C0)	f0a28380
𢃁	U+220C1 (U+220C1)	f0a28381
𢃂	U+220C2 (U+220C2)	f0a28382
𢃃	U+220C3 (U+220C3)	f0a28383
𢃄	U+220C4 (U+220C4)	f0a28384
𢃅	U+220C5 (U+220C5)	f0a28385
𢃆	U+220C6 (U+220C6)	f0a28386
𢃇	(Cant.) a sail (U+220C7)	f0a28387
𢃈	U+220C8 (U+220C8)	f0a28388
𢃉	U+220C9 (U+220C9)	f0a28389
𢃊	U+220CA (U+220CA)	f0a2838a
𢃋	U+220CB (U+220CB)	f0a2838b
𢃌	U+220CC (U+220CC)	f0a2838c
𢃍	U+220CD (U+220CD)	f0a2838d
𢃎	U+220CE (U+220CE)	f0a2838e
𢃏	U+220CF (U+220CF)	f0a2838f
𢃐	U+220D0 (U+220D0)	f0a28390
𢃑	U+220D1 (U+220D1)	f0a28391
𢃒	U+220D2 (U+220D2)	f0a28392
𢃓	U+220D3 (U+220D3)	f0a28393
𢃔	U+220D4 (U+220D4)	f0a28394
𢃕	a covering, awning, screen (U+220D5)	f0a28395
𢃖	U+220D6 (U+220D6)	f0a28396
𢃗	U+220D7 (U+220D7)	f0a28397
𢃘	U+220D8 (U+220D8)	f0a28398
𢃙	U+220D9 (U+220D9)	f0a28399
𢃚	U+220DA (U+220DA)	f0a2839a
𢃛	U+220DB (U+220DB)	f0a2839b
𢃜	U+220DC (U+220DC)	f0a2839c
𢃝	U+220DD (U+220DD)	f0a2839d
𢃞	U+220DE (U+220DE)	f0a2839e
𢃟	U+220DF (U+220DF)	f0a2839f
𢃠	U+220E0 (U+220E0)	f0a283a0
𢃡	U+220E1 (U+220E1)	f0a283a1
𢃢	U+220E2 (U+220E2)	f0a283a2
𢃣	U+220E3 (U+220E3)	f0a283a3
𢃤	U+220E4 (U+220E4)	f0a283a4
𢃥	U+220E5 (U+220E5)	f0a283a5
𢃦	U+220E6 (U+220E6)	f0a283a6
𢃧	U+220E7 (U+220E7)	f0a283a7
𢃨	U+220E8 (U+220E8)	f0a283a8
𢃩	U+220E9 (U+220E9)	f0a283a9
𢃪	U+220EA (U+220EA)	f0a283aa
𢃫	U+220EB (U+220EB)	f0a283ab
𢃬	U+220EC (U+220EC)	f0a283ac
𢃭	U+220ED (U+220ED)	f0a283ad
𢃮	U+220EE (U+220EE)	f0a283ae
𢃯	U+220EF (U+220EF)	f0a283af
𢃰	U+220F0 (U+220F0)	f0a283b0
𢃱	U+220F1 (U+220F1)	f0a283b1
𢃲	U+220F2 (U+220F2)	f0a283b2
𢃳	U+220F3 (U+220F3)	f0a283b3
𢃴	U+220F4 (U+220F4)	f0a283b4
𢃵	U+220F5 (U+220F5)	f0a283b5
𢃶	U+220F6 (U+220F6)	f0a283b6
𢃷	U+220F7 (U+220F7)	f0a283b7
𢃸	U+220F8 (U+220F8)	f0a283b8
𢃹	U+220F9 (U+220F9)	f0a283b9
𢃺	U+220FA (U+220FA)	f0a283ba
𢃻	U+220FB (U+220FB)	f0a283bb
𢃼	U+220FC (U+220FC)	f0a283bc
𢃽	U+220FD (U+220FD)	f0a283bd
𢃾	U+220FE (U+220FE)	f0a283be
𢃿	U+220FF (U+220FF)	f0a283bf
𢄀	U+22100 (U+22100)	f0a28480
𢄁	U+22101 (U+22101)	f0a28481
𢄂	U+22102 (U+22102)	f0a28482
𢄃	U+22103 (U+22103)	f0a28483
𢄄	U+22104 (U+22104)	f0a28484
𢄅	U+22105 (U+22105)	f0a28485
𢄆	U+22106 (U+22106)	f0a28486
𢄇	U+22107 (U+22107)	f0a28487
𢄈	U+22108 (U+22108)	f0a28488
𢄉	U+22109 (U+22109)	f0a28489
𢄊	U+2210A (U+2210A)	f0a2848a
𢄋	U+2210B (U+2210B)	f0a2848b
𢄌	U+2210C (U+2210C)	f0a2848c
𢄍	U+2210D (U+2210D)	f0a2848d
𢄎	U+2210E (U+2210E)	f0a2848e
𢄏	U+2210F (U+2210F)	f0a2848f
𢄐	U+22110 (U+22110)	f0a28490
𢄑	U+22111 (U+22111)	f0a28491
𢄒	U+22112 (U+22112)	f0a28492
𢄓	U+22113 (U+22113)	f0a28493
𢄔	U+22114 (U+22114)	f0a28494
𢄕	U+22115 (U+22115)	f0a28495
𢄖	U+22116 (U+22116)	f0a28496
𢄗	U+22117 (U+22117)	f0a28497
𢄘	U+22118 (U+22118)	f0a28498
𢄙	U+22119 (U+22119)	f0a28499
𢄚	U+2211A (U+2211A)	f0a2849a
𢄛	U+2211B (U+2211B)	f0a2849b
𢄜	U+2211C (U+2211C)	f0a2849c
𢄝	U+2211D (U+2211D)	f0a2849d
𢄞	U+2211E (U+2211E)	f0a2849e
𢄟	U+2211F (U+2211F)	f0a2849f
𢄠	U+22120 (U+22120)	f0a284a0
𢄡	U+22121 (U+22121)	f0a284a1
𢄢	U+22122 (U+22122)	f0a284a2
𢄣	U+22123 (U+22123)	f0a284a3
𢄤	U+22124 (U+22124)	f0a284a4
𢄥	U+22125 (U+22125)	f0a284a5
𢄦	U+22126 (U+22126)	f0a284a6
𢄧	U+22127 (U+22127)	f0a284a7
𢄨	U+22128 (U+22128)	f0a284a8
𢄩	U+22129 (U+22129)	f0a284a9
𢄪	U+2212A (U+2212A)	f0a284aa
𢄫	U+2212B (U+2212B)	f0a284ab
𢄬	U+2212C (U+2212C)	f0a284ac
𢄭	U+2212D (U+2212D)	f0a284ad
𢄮	U+2212E (U+2212E)	f0a284ae
𢄯	U+2212F (U+2212F)	f0a284af
𢄰	U+22130 (U+22130)	f0a284b0
𢄱	U+22131 (U+22131)	f0a284b1
𢄲	U+22132 (U+22132)	f0a284b2
𢄳	U+22133 (U+22133)	f0a284b3
𢄴	U+22134 (U+22134)	f0a284b4
𢄵	U+22135 (U+22135)	f0a284b5
𢄶	the noise of tearing silk; to tear (U+22136)	f0a284b6
𢄷	U+22137 (U+22137)	f0a284b7
𢄸	U+22138 (U+22138)	f0a284b8
𢄹	U+22139 (U+22139)	f0a284b9
𢄺	U+2213A (U+2213A)	f0a284ba
𢄻	U+2213B (U+2213B)	f0a284bb
𢄼	U+2213C (U+2213C)	f0a284bc
𢄽	U+2213D (U+2213D)	f0a284bd
𢄾	U+2213E (U+2213E)	f0a284be
𢄿	U+2213F (U+2213F)	f0a284bf
𢅀	U+22140 (U+22140)	f0a28580
𢅁	U+22141 (U+22141)	f0a28581
𢅂	U+22142 (U+22142)	f0a28582
𢅃	U+22143 (U+22143)	f0a28583
𢅄	U+22144 (U+22144)	f0a28584
𢅅	U+22145 (U+22145)	f0a28585
𢅆	U+22146 (U+22146)	f0a28586
𢅇	U+22147 (U+22147)	f0a28587
𢅈	U+22148 (U+22148)	f0a28588
𢅉	U+22149 (U+22149)	f0a28589
𢅊	U+2214A (U+2214A)	f0a2858a
𢅋	U+2214B (U+2214B)	f0a2858b
𢅌	U+2214C (U+2214C)	f0a2858c
𢅍	U+2214D (U+2214D)	f0a2858d
𢅎	U+2214E (U+2214E)	f0a2858e
𢅏	blinds, window screens (U+2214F)	f0a2858f
𢅐	U+22150 (U+22150)	f0a28590
𢅑	U+22151 (U+22151)	f0a28591
𢅒	U+22152 (U+22152)	f0a28592
𢅓	U+22153 (U+22153)	f0a28593
𢅔	U+22154 (U+22154)	f0a28594
𢅕	U+22155 (U+22155)	f0a28595
𢅖	curtain, screen (U+22156)	f0a28596
𢅗	U+22157 (U+22157)	f0a28597
𢅘	U+22158 (U+22158)	f0a28598
𢅙	U+22159 (U+22159)	f0a28599
𢅚	U+2215A (U+2215A)	f0a2859a
𢅛	U+2215B (U+2215B)	f0a2859b
𢅜	U+2215C (U+2215C)	f0a2859c
𢅝	U+2215D (U+2215D)	f0a2859d
𢅞	U+2215E (U+2215E)	f0a2859e
𢅟	U+2215F (U+2215F)	f0a2859f
𢅠	U+22160 (U+22160)	f0a285a0
𢅡	U+22161 (U+22161)	f0a285a1
𢅢	U+22162 (U+22162)	f0a285a2
𢅣	U+22163 (U+22163)	f0a285a3
𢅤	U+22164 (U+22164)	f0a285a4
𢅥	variant of 㡡 U+3861, a screen to make a temporary kitchen (U+22165)	f0a285a5
𢅦	U+22166 (U+22166)	f0a285a6
𢅧	U+22167 (U+22167)	f0a285a7
𢅨	U+22168 (U+22168)	f0a285a8
𢅩	U+22169 (U+22169)	f0a285a9
𢅪	U+2216A (U+2216A)	f0a285aa
𢅫	U+2216B (U+2216B)	f0a285ab
𢅬	U+2216C (U+2216C)	f0a285ac
𢅭	U+2216D (U+2216D)	f0a285ad
𢅮	U+2216E (U+2216E)	f0a285ae
𢅯	U+2216F (U+2216F)	f0a285af
𢅰	U+22170 (U+22170)	f0a285b0
𢅱	U+22171 (U+22171)	f0a285b1
𢅲	U+22172 (U+22172)	f0a285b2
𢅳	U+22173 (U+22173)	f0a285b3
𢅴	U+22174 (U+22174)	f0a285b4
𢅵	U+22175 (U+22175)	f0a285b5
𢅶	U+22176 (U+22176)	f0a285b6
𢅷	U+22177 (U+22177)	f0a285b7
𢅸	U+22178 (U+22178)	f0a285b8
𢅹	U+22179 (U+22179)	f0a285b9
𢅺	U+2217A (U+2217A)	f0a285ba
𢅻	U+2217B (U+2217B)	f0a285bb
𢅼	U+2217C (U+2217C)	f0a285bc
𢅽	U+2217D (U+2217D)	f0a285bd
𢅾	U+2217E (U+2217E)	f0a285be
𢅿	U+2217F (U+2217F)	f0a285bf
𢆀	U+22180 (U+22180)	f0a28680
𢆁	U+22181 (U+22181)	f0a28681
𢆂	U+22182 (U+22182)	f0a28682
𢆃	U+22183 (U+22183)	f0a28683
𢆄	U+22184 (U+22184)	f0a28684
𢆅	U+22185 (U+22185)	f0a28685
𢆆	U+22186 (U+22186)	f0a28686
𢆇	U+22187 (U+22187)	f0a28687
𢆈	U+22188 (U+22188)	f0a28688
𢆉	U+22189 (U+22189)	f0a28689
𢆊	U+2218A (U+2218A)	f0a2868a
𢆋	U+2218B (U+2218B)	f0a2868b
𢆌	U+2218C (U+2218C)	f0a2868c
𢆍	U+2218D (U+2218D)	f0a2868d
𢆎	U+2218E (U+2218E)	f0a2868e
𢆏	U+2218F (U+2218F)	f0a2868f
𢆐	U+22190 (U+22190)	f0a28690
𢆑	U+22191 (U+22191)	f0a28691
𢆒	U+22192 (U+22192)	f0a28692
𢆓	U+22193 (U+22193)	f0a28693
