𩃺	U+290FA (U+290FA)	f0a983ba
𩃻	U+290FB (U+290FB)	f0a983bb
𩃼	U+290FC (U+290FC)	f0a983bc
𩃽	U+290FD (U+290FD)	f0a983bd
𩃾	U+290FE (U+290FE)	f0a983be
𩃿	U+290FF (U+290FF)	f0a983bf
𩄀	U+29100 (U+29100)	f0a98480
𩄁	U+29101 (U+29101)	f0a98481
𩄂	U+29102 (U+29102)	f0a98482
𩄃	U+29103 (U+29103)	f0a98483
𩄄	U+29104 (U+29104)	f0a98484
𩄅	U+29105 (U+29105)	f0a98485
𩄆	U+29106 (U+29106)	f0a98486
𩄇	U+29107 (U+29107)	f0a98487
𩄈	U+29108 (U+29108)	f0a98488
𩄉	U+29109 (U+29109)	f0a98489
𩄊	U+2910A (U+2910A)	f0a9848a
𩄋	U+2910B (U+2910B)	f0a9848b
𩄌	U+2910C (U+2910C)	f0a9848c
𩄍	U+2910D (U+2910D)	f0a9848d
𩄎	U+2910E (U+2910E)	f0a9848e
𩄏	U+2910F (U+2910F)	f0a9848f
𩄐	U+29110 (U+29110)	f0a98490
𩄑	U+29111 (U+29111)	f0a98491
𩄒	U+29112 (U+29112)	f0a98492
𩄓	U+29113 (U+29113)	f0a98493
𩄔	U+29114 (U+29114)	f0a98494
𩄕	U+29115 (U+29115)	f0a98495
𩄖	U+29116 (U+29116)	f0a98496
𩄗	U+29117 (U+29117)	f0a98497
𩄘	U+29118 (U+29118)	f0a98498
𩄙	U+29119 (U+29119)	f0a98499
𩄚	U+2911A (U+2911A)	f0a9849a
𩄛	U+2911B (U+2911B)	f0a9849b
𩄜	U+2911C (U+2911C)	f0a9849c
𩄝	U+2911D (U+2911D)	f0a9849d
𩄞	U+2911E (U+2911E)	f0a9849e
𩄟	U+2911F (U+2911F)	f0a9849f
𩄠	U+29120 (U+29120)	f0a984a0
𩄡	U+29121 (U+29121)	f0a984a1
𩄢	U+29122 (U+29122)	f0a984a2
𩄣	U+29123 (U+29123)	f0a984a3
𩄤	U+29124 (U+29124)	f0a984a4
𩄥	U+29125 (U+29125)	f0a984a5
𩄦	U+29126 (U+29126)	f0a984a6
𩄧	U+29127 (U+29127)	f0a984a7
𩄨	U+29128 (U+29128)	f0a984a8
𩄩	U+29129 (U+29129)	f0a984a9
𩄪	U+2912A (U+2912A)	f0a984aa
𩄫	U+2912B (U+2912B)	f0a984ab
𩄬	U+2912C (U+2912C)	f0a984ac
𩄭	U+2912D (U+2912D)	f0a984ad
𩄮	U+2912E (U+2912E)	f0a984ae
𩄯	U+2912F (U+2912F)	f0a984af
𩄰	U+29130 (U+29130)	f0a984b0
𩄱	U+29131 (U+29131)	f0a984b1
𩄲	U+29132 (U+29132)	f0a984b2
𩄳	U+29133 (U+29133)	f0a984b3
𩄴	U+29134 (U+29134)	f0a984b4
𩄵	U+29135 (U+29135)	f0a984b5
𩄶	U+29136 (U+29136)	f0a984b6
𩄷	U+29137 (U+29137)	f0a984b7
𩄸	U+29138 (U+29138)	f0a984b8
𩄹	U+29139 (U+29139)	f0a984b9
𩄺	U+2913A (U+2913A)	f0a984ba
𩄻	U+2913B (U+2913B)	f0a984bb
𩄼	U+2913C (U+2913C)	f0a984bc
𩄽	U+2913D (U+2913D)	f0a984bd
𩄾	U+2913E (U+2913E)	f0a984be
𩄿	U+2913F (U+2913F)	f0a984bf
𩅀	U+29140 (U+29140)	f0a98580
𩅁	U+29141 (U+29141)	f0a98581
𩅂	U+29142 (U+29142)	f0a98582
𩅃	U+29143 (U+29143)	f0a98583
𩅄	U+29144 (U+29144)	f0a98584
𩅅	U+29145 (U+29145)	f0a98585
𩅆	U+29146 (U+29146)	f0a98586
𩅇	U+29147 (U+29147)	f0a98587
𩅈	U+29148 (U+29148)	f0a98588
𩅉	U+29149 (U+29149)	f0a98589
𩅊	U+2914A (U+2914A)	f0a9858a
𩅋	U+2914B (U+2914B)	f0a9858b
𩅌	U+2914C (U+2914C)	f0a9858c
𩅍	U+2914D (U+2914D)	f0a9858d
𩅎	U+2914E (U+2914E)	f0a9858e
𩅏	U+2914F (U+2914F)	f0a9858f
𩅐	U+29150 (U+29150)	f0a98590
𩅑	U+29151 (U+29151)	f0a98591
𩅒	U+29152 (U+29152)	f0a98592
𩅓	U+29153 (U+29153)	f0a98593
𩅔	U+29154 (U+29154)	f0a98594
𩅕	U+29155 (U+29155)	f0a98595
𩅖	U+29156 (U+29156)	f0a98596
𩅗	U+29157 (U+29157)	f0a98597
𩅘	U+29158 (U+29158)	f0a98598
𩅙	U+29159 (U+29159)	f0a98599
𩅚	U+2915A (U+2915A)	f0a9859a
𩅛	U+2915B (U+2915B)	f0a9859b
𩅜	U+2915C (U+2915C)	f0a9859c
𩅝	U+2915D (U+2915D)	f0a9859d
𩅞	U+2915E (U+2915E)	f0a9859e
𩅟	U+2915F (U+2915F)	f0a9859f
𩅠	U+29160 (U+29160)	f0a985a0
𩅡	U+29161 (U+29161)	f0a985a1
𩅢	U+29162 (U+29162)	f0a985a2
𩅣	U+29163 (U+29163)	f0a985a3
𩅤	U+29164 (U+29164)	f0a985a4
𩅥	U+29165 (U+29165)	f0a985a5
𩅦	U+29166 (U+29166)	f0a985a6
𩅧	U+29167 (U+29167)	f0a985a7
𩅨	U+29168 (U+29168)	f0a985a8
𩅩	U+29169 (U+29169)	f0a985a9
𩅪	U+2916A (U+2916A)	f0a985aa
𩅫	U+2916B (U+2916B)	f0a985ab
𩅬	U+2916C (U+2916C)	f0a985ac
𩅭	U+2916D (U+2916D)	f0a985ad
𩅮	U+2916E (U+2916E)	f0a985ae
𩅯	U+2916F (U+2916F)	f0a985af
𩅰	U+29170 (U+29170)	f0a985b0
𩅱	U+29171 (U+29171)	f0a985b1
𩅲	U+29172 (U+29172)	f0a985b2
𩅳	U+29173 (U+29173)	f0a985b3
𩅴	U+29174 (U+29174)	f0a985b4
𩅵	U+29175 (U+29175)	f0a985b5
𩅶	U+29176 (U+29176)	f0a985b6
𩅷	U+29177 (U+29177)	f0a985b7
𩅸	U+29178 (U+29178)	f0a985b8
𩅹	U+29179 (U+29179)	f0a985b9
𩅺	U+2917A (U+2917A)	f0a985ba
𩅻	pelting rain (U+2917B)	f0a985bb
𩅼	U+2917C (U+2917C)	f0a985bc
𩅽	U+2917D (U+2917D)	f0a985bd
𩅾	U+2917E (U+2917E)	f0a985be
𩅿	U+2917F (U+2917F)	f0a985bf
𩆀	U+29180 (U+29180)	f0a98680
𩆁	U+29181 (U+29181)	f0a98681
𩆂	U+29182 (U+29182)	f0a98682
𩆃	U+29183 (U+29183)	f0a98683
𩆄	U+29184 (U+29184)	f0a98684
𩆅	U+29185 (U+29185)	f0a98685
𩆆	U+29186 (U+29186)	f0a98686
𩆇	U+29187 (U+29187)	f0a98687
𩆈	U+29188 (U+29188)	f0a98688
𩆉	U+29189 (U+29189)	f0a98689
𩆊	U+2918A (U+2918A)	f0a9868a
𩆋	U+2918B (U+2918B)	f0a9868b
𩆌	U+2918C (U+2918C)	f0a9868c
𩆍	U+2918D (U+2918D)	f0a9868d
𩆎	U+2918E (U+2918E)	f0a9868e
𩆏	U+2918F (U+2918F)	f0a9868f
𩆐	U+29190 (U+29190)	f0a98690
𩆑	U+29191 (U+29191)	f0a98691
𩆒	U+29192 (U+29192)	f0a98692
𩆓	U+29193 (U+29193)	f0a98693
𩆔	U+29194 (U+29194)	f0a98694
