𣔂	U+23502 (U+23502)	f0a39482
𣔃	U+23503 (U+23503)	f0a39483
𣔄	U+23504 (U+23504)	f0a39484
𣔅	U+23505 (U+23505)	f0a39485
𣔆	U+23506 (U+23506)	f0a39486
𣔇	U+23507 (U+23507)	f0a39487
𣔈	U+23508 (U+23508)	f0a39488
𣔉	U+23509 (U+23509)	f0a39489
𣔊	U+2350A (U+2350A)	f0a3948a
𣔋	U+2350B (U+2350B)	f0a3948b
𣔌	U+2350C (U+2350C)	f0a3948c
𣔍	U+2350D (U+2350D)	f0a3948d
𣔎	U+2350E (U+2350E)	f0a3948e
𣔏	U+2350F (U+2350F)	f0a3948f
𣔐	U+23510 (U+23510)	f0a39490
𣔑	U+23511 (U+23511)	f0a39491
𣔒	U+23512 (U+23512)	f0a39492
𣔓	U+23513 (U+23513)	f0a39493
𣔔	U+23514 (U+23514)	f0a39494
𣔕	U+23515 (U+23515)	f0a39495
𣔖	U+23516 (U+23516)	f0a39496
𣔗	U+23517 (U+23517)	f0a39497
𣔘	U+23518 (U+23518)	f0a39498
𣔙	U+23519 (U+23519)	f0a39499
𣔚	U+2351A (U+2351A)	f0a3949a
𣔛	U+2351B (U+2351B)	f0a3949b
𣔜	U+2351C (U+2351C)	f0a3949c
𣔝	U+2351D (U+2351D)	f0a3949d
𣔞	U+2351E (U+2351E)	f0a3949e
𣔟	U+2351F (U+2351F)	f0a3949f
𣔠	U+23520 (U+23520)	f0a394a0
𣔡	U+23521 (U+23521)	f0a394a1
𣔢	U+23522 (U+23522)	f0a394a2
𣔣	U+23523 (U+23523)	f0a394a3
𣔤	U+23524 (U+23524)	f0a394a4
𣔥	U+23525 (U+23525)	f0a394a5
𣔦	U+23526 (U+23526)	f0a394a6
𣔧	U+23527 (U+23527)	f0a394a7
𣔨	(Cant.) to be entangled, twisted; (of alcohol and tobacco) to be strong (U+23528)	f0a394a8
𣔩	U+23529 (U+23529)	f0a394a9
𣔪	U+2352A (U+2352A)	f0a394aa
𣔫	U+2352B (U+2352B)	f0a394ab
𣔬	U+2352C (U+2352C)	f0a394ac
𣔭	U+2352D (U+2352D)	f0a394ad
𣔮	U+2352E (U+2352E)	f0a394ae
𣔯	U+2352F (U+2352F)	f0a394af
𣔰	U+23530 (U+23530)	f0a394b0
𣔱	U+23531 (U+23531)	f0a394b1
𣔲	U+23532 (U+23532)	f0a394b2
𣔳	U+23533 (U+23533)	f0a394b3
𣔴	U+23534 (U+23534)	f0a394b4
𣔵	U+23535 (U+23535)	f0a394b5
𣔶	U+23536 (U+23536)	f0a394b6
𣔷	U+23537 (U+23537)	f0a394b7
𣔸	U+23538 (U+23538)	f0a394b8
𣔹	U+23539 (U+23539)	f0a394b9
𣔺	U+2353A (U+2353A)	f0a394ba
𣔻	U+2353B (U+2353B)	f0a394bb
𣔼	a cane, rod, pole, staff (U+2353C)	f0a394bc
𣔽	U+2353D (U+2353D)	f0a394bd
𣔾	U+2353E (U+2353E)	f0a394be
𣔿	U+2353F (U+2353F)	f0a394bf
𣕀	U+23540 (U+23540)	f0a39580
𣕁	U+23541 (U+23541)	f0a39581
𣕂	U+23542 (U+23542)	f0a39582
𣕃	U+23543 (U+23543)	f0a39583
𣕄	U+23544 (U+23544)	f0a39584
𣕅	U+23545 (U+23545)	f0a39585
𣕆	U+23546 (U+23546)	f0a39586
𣕇	U+23547 (U+23547)	f0a39587
𣕈	U+23548 (U+23548)	f0a39588
𣕉	U+23549 (U+23549)	f0a39589
𣕊	U+2354A (U+2354A)	f0a3958a
𣕋	U+2354B (U+2354B)	f0a3958b
𣕌	U+2354C (U+2354C)	f0a3958c
𣕍	U+2354D (U+2354D)	f0a3958d
𣕎	U+2354E (U+2354E)	f0a3958e
𣕏	U+2354F (U+2354F)	f0a3958f
𣕐	U+23550 (U+23550)	f0a39590
𣕑	U+23551 (U+23551)	f0a39591
𣕒	U+23552 (U+23552)	f0a39592
𣕓	U+23553 (U+23553)	f0a39593
𣕔	U+23554 (U+23554)	f0a39594
𣕕	U+23555 (U+23555)	f0a39595
𣕖	U+23556 (U+23556)	f0a39596
𣕗	U+23557 (U+23557)	f0a39597
𣕘	U+23558 (U+23558)	f0a39598
𣕙	U+23559 (U+23559)	f0a39599
𣕚	U+2355A (U+2355A)	f0a3959a
𣕛	U+2355B (U+2355B)	f0a3959b
𣕜	U+2355C (U+2355C)	f0a3959c
𣕝	U+2355D (U+2355D)	f0a3959d
𣕞	U+2355E (U+2355E)	f0a3959e
𣕟	U+2355F (U+2355F)	f0a3959f
𣕠	U+23560 (U+23560)	f0a395a0
𣕡	U+23561 (U+23561)	f0a395a1
𣕢	U+23562 (U+23562)	f0a395a2
𣕣	U+23563 (U+23563)	f0a395a3
𣕤	U+23564 (U+23564)	f0a395a4
𣕥	U+23565 (U+23565)	f0a395a5
𣕦	U+23566 (U+23566)	f0a395a6
𣕧	U+23567 (U+23567)	f0a395a7
𣕨	U+23568 (U+23568)	f0a395a8
𣕩	U+23569 (U+23569)	f0a395a9
𣕪	U+2356A (U+2356A)	f0a395aa
𣕫	U+2356B (U+2356B)	f0a395ab
𣕬	U+2356C (U+2356C)	f0a395ac
𣕭	U+2356D (U+2356D)	f0a395ad
𣕮	U+2356E (U+2356E)	f0a395ae
𣕯	U+2356F (U+2356F)	f0a395af
𣕰	U+23570 (U+23570)	f0a395b0
𣕱	U+23571 (U+23571)	f0a395b1
𣕲	U+23572 (U+23572)	f0a395b2
𣕳	U+23573 (U+23573)	f0a395b3
𣕴	U+23574 (U+23574)	f0a395b4
𣕵	U+23575 (U+23575)	f0a395b5
𣕶	U+23576 (U+23576)	f0a395b6
𣕷	U+23577 (U+23577)	f0a395b7
𣕸	U+23578 (U+23578)	f0a395b8
𣕹	U+23579 (U+23579)	f0a395b9
𣕺	U+2357A (U+2357A)	f0a395ba
𣕻	U+2357B (U+2357B)	f0a395bb
𣕼	U+2357C (U+2357C)	f0a395bc
𣕽	U+2357D (U+2357D)	f0a395bd
𣕾	U+2357E (U+2357E)	f0a395be
𣕿	U+2357F (U+2357F)	f0a395bf
𣖀	U+23580 (U+23580)	f0a39680
𣖁	U+23581 (U+23581)	f0a39681
𣖂	U+23582 (U+23582)	f0a39682
𣖃	U+23583 (U+23583)	f0a39683
𣖄	U+23584 (U+23584)	f0a39684
𣖅	U+23585 (U+23585)	f0a39685
𣖆	U+23586 (U+23586)	f0a39686
𣖇	U+23587 (U+23587)	f0a39687
𣖈	U+23588 (U+23588)	f0a39688
𣖉	U+23589 (U+23589)	f0a39689
𣖊	U+2358A (U+2358A)	f0a3968a
𣖋	U+2358B (U+2358B)	f0a3968b
𣖌	U+2358C (U+2358C)	f0a3968c
𣖍	U+2358D (U+2358D)	f0a3968d
𣖎	U+2358E (U+2358E)	f0a3968e
𣖏	U+2358F (U+2358F)	f0a3968f
𣖐	U+23590 (U+23590)	f0a39690
𣖑	U+23591 (U+23591)	f0a39691
𣖒	U+23592 (U+23592)	f0a39692
𣖓	U+23593 (U+23593)	f0a39693
𣖔	U+23594 (U+23594)	f0a39694
𣖕	(Cant.) the back of a chair for one to lean against (U+23595)	f0a39695
𣖖	U+23596 (U+23596)	f0a39696
𣖗	U+23597 (U+23597)	f0a39697
𣖘	U+23598 (U+23598)	f0a39698
𣖙	U+23599 (U+23599)	f0a39699
𣖚	U+2359A (U+2359A)	f0a3969a
