瓚	ceremonial libation cup (U+74DA)	e7939a
瓛	scaptre (U+74DB)	e7939b
瓜	melon, gourd, cucumber; rad. 97 (U+74DC)	e7939c
瓝	U+74DD (U+74DD)	e7939d
瓞	young melons just forming (U+74DE)	e7939e
瓟	the bottle-gourd (U+74DF)	e7939f
瓠	bottle gourd; calabash; pot (U+74E0)	e793a0
瓡	U+74E1 (U+74E1)	e793a1
瓢	ladle made from dried gourd (U+74E2)	e793a2
瓣	petal; segment; valves (U+74E3)	e793a3
瓤	flesh, core, pulp, pith (U+74E4)	e793a4
瓥	U+74E5 (U+74E5)	e793a5
瓦	tile; earthenware pottery; girl (U+74E6)	e793a6
瓧	decagram (U+74E7)	e793a7
瓨	U+74E8 (U+74E8)	e793a8
瓩	kilowatt; kilogram (U+74E9)	e793a9
瓪	U+74EA (U+74EA)	e793aa
瓫	U+74EB (U+74EB)	e793ab
瓬	U+74EC (U+74EC)	e793ac
瓭	U+74ED (U+74ED)	e793ad
瓮	earthen jar; jar for ashes (U+74EE)	e793ae
瓯	bowl, cup; small tray (U+74EF)	e793af
瓰	a decigram, one-tenth of a gram (U+74F0)	e793b0
瓱	milligram (U+74F1)	e793b1
瓲	U+74F2 (U+74F2)	e793b2
瓳	U+74F3 (U+74F3)	e793b3
瓴	concave channels of tiling a long-necked jar (U+74F4)	e793b4
瓵	U+74F5 (U+74F5)	e793b5
瓶	jug, pitcher, vase, jar, bottle (U+74F6)	e793b6
瓷	crockery, porcelain, chinaware (U+74F7)	e793b7
瓸	hectogram (U+74F8)	e793b8
瓹	(Cant.) to hide quickly; to dash (U+74F9)	e793b9
瓺	U+74FA (U+74FA)	e793ba
瓻	jar (U+74FB)	e793bb
瓼	U+74FC (U+74FC)	e793bc
瓽	U+74FD (U+74FD)	e793bd
瓾	U+74FE (U+74FE)	e793be
瓿	jar, pot (U+74FF)	e793bf
甀	jar (U+7500)	e79480
甁	jug (U+7501)	e79481
甂	(Cant.) 打甂爐, to instant-boil thin slices of meat and vegetables in a chafing dish at a dining table (U+7502)	e79482
甃	brick wall of a well (U+7503)	e79483
甄	to examine, discern; to grade; a surname (U+7504)	e79484
甅	centigram (U+7505)	e79485
甆	U+7506 (U+7506)	e79486
甇	jar (U+7507)	e79487
甈	U+7508 (U+7508)	e79488
甉	U+7509 (U+7509)	e79489
甊	U+750A (U+750A)	e7948a
甋	a jar without ears (U+750B)	e7948b
甌	bowl, cup; small tray (U+750C)	e7948c
甍	rafters supporting roof tiles (U+750D)	e7948d
甎	brick, square tile, slab (U+750E)	e7948e
甏	a squat jar for holding wine, sauces etc. (U+750F)	e7948f
甐	U+7510 (U+7510)	e79490
甑	boiler for steaming rice, pot (U+7511)	e79491
甒	jar (U+7512)	e79492
甓	glazed tiles, bricks (U+7513)	e79493
甔	big jar (U+7514)	e79494
甕	earthen jar; jar for ashes (U+7515)	e79495
甖	a pot, pitcher; a small-mouthed clay vessel (U+7516)	e79496
甗	earthenware vessel in two parts (U+7517)	e79497
甘	sweetness; sweet, tasty (U+7518)	e79498
甙	sugar product (U+7519)	e79499
甚	great extent; considerably (U+751A)	e7949a
甛	sweet, sweetness (U+751B)	e7949b
甜	sweet, sweetness (U+751C)	e7949c
甝	U+751D (U+751D)	e7949d
甞	taste; experience, experiment (U+751E)	e7949e
生	life, living, lifetime; birth (U+751F)	e7949f
甠	U+7520 (U+7520)	e794a0
甡	abundant, numerous; crowd (U+7521)	e794a1
產	give birth, bring forth, produce (U+7522)	e794a2
産	give birth (U+7523)	e794a3
甤	drooping leaves; fringe soft, delicate (U+7524)	e794a4
甥	sister's child (U+7525)	e794a5
甦	be reborn; resuscitate, revive (U+7526)	e794a6
甧	U+7527 (U+7527)	e794a7
用	use, employ, apply, operate; use (U+7528)	e794a8
甩	throw away, discard (U+7529)	e794a9
