髕	kneecap (U+9AD5)	e9ab95
鰊	a herring (U+9C0A)	e9b08a
鰋	sheat (U+9C0B)	e9b08b
鰌	loach; squid; lizard; eel (U+9C0C)	e9b08c
鰍	loach (U+9C0D)	e9b08d
鰎	U+9C0E (U+9C0E)	e9b08e
鰏	U+9C0F (U+9C0F)	e9b08f
鰐	alligator (U+9C10)	e9b090
鰑	U+9C11 (U+9C11)	e9b091
鰒	abalone (U+9C12)	e9b092
鰓	fish gills (U+9C13)	e9b093
鰔	U+9C14 (U+9C14)	e9b094
鰕	shrimp, prawn (U+9C15)	e9b095
鰖	U+9C16 (U+9C16)	e9b096
鰗	U+9C17 (U+9C17)	e9b097
鰘	U+9C18 (U+9C18)	e9b098
鰙	U+9C19 (U+9C19)	e9b099
鰚	U+9C1A (U+9C1A)	e9b09a
鰛	sardine (U+9C1B)	e9b09b
鰜	big-mouthed flounder (U+9C1C)	e9b09c
鰝	U+9C1D (U+9C1D)	e9b09d
鰞	squid (U+9C1E)	e9b09e
鰟	U+9C1F (U+9C1F)	e9b09f
鰠	carp (U+9C20)	e9b0a0
鰡	U+9C21 (U+9C21)	e9b0a1
鰢	U+9C22 (U+9C22)	e9b0a2
鰣	reeves' shad; hilsa herring (U+9C23)	e9b0a3
鰤	a yellowtail (fish) (U+9C24)	e9b0a4
鰥	huge fish; widower; bachelor (U+9C25)	e9b0a5
鰦	U+9C26 (U+9C26)	e9b0a6
鰧	U+9C27 (U+9C27)	e9b0a7
鰨	sole (U+9C28)	e9b0a8
鰩	the nautilus; the ray (U+9C29)	e9b0a9
鰪	U+9C2A (U+9C2A)	e9b0aa
鰫	U+9C2B (U+9C2B)	e9b0ab
鰬	U+9C2C (U+9C2C)	e9b0ac
鰭	fin (U+9C2D)	e9b0ad
鰮	sardine (U+9C2E)	e9b0ae
鰯	a sardine (U+9C2F)	e9b0af
鰰	U+9C30 (U+9C30)	e9b0b0
鰱	silver carp, hypophthalmiathys (U+9C31)	e9b0b1
鰲	huge sea turtle (U+9C32)	e9b0b2
鰳	Chinese herring; shad (U+9C33)	e9b0b3
鰴	U+9C34 (U+9C34)	e9b0b4
鰵	codfish (U+9C35)	e9b0b5
鰶	U+9C36 (U+9C36)	e9b0b6
鰷	minnow (U+9C37)	e9b0b7
鰸	U+9C38 (U+9C38)	e9b0b8
鰹	skipjack, bonito (U+9C39)	e9b0b9
鰺	a horse mackerel (U+9C3A)	e9b0ba
鰻	eel (U+9C3B)	e9b0bb
鰼	the weather or dojo loach, Misgurnus anguillicaudatus (U+9C3C)	e9b0bc
鰽	herring (U+9C3D)	e9b0bd
鰾	swimming bladder of fish (U+9C3E)	e9b0be
鰿	U+9C3F (U+9C3F)	e9b0bf
鱀	U+9C40 (U+9C40)	e9b180
鱁	U+9C41 (U+9C41)	e9b181
鱂	name of fish (U+9C42)	e9b182
鱃	U+9C43 (U+9C43)	e9b183
鱄	anchovy (U+9C44)	e9b184
鱅	a kind of tench (U+9C45)	e9b185
鱆	an octopus, devilfish (U+9C46)	e9b186
鱇	anglerfish (U+9C47)	e9b187
鱈	codfish (U+9C48)	e9b188
鱉	turtle (U+9C49)	e9b189
鱊	U+9C4A (U+9C4A)	e9b18a
鱋	U+9C4B (U+9C4B)	e9b18b
鱌	U+9C4C (U+9C4C)	e9b18c
鱍	U+9C4D (U+9C4D)	e9b18d
鱎	U+9C4E (U+9C4E)	e9b18e
鱏	a ray, skate (U+9C4F)	e9b18f
鱐	dried fish (U+9C50)	e9b190
鱑	the sturgeon (U+9C51)	e9b191
鱒	barbel (U+9C52)	e9b192
鱓	eel (U+9C53)	e9b193
鱔	eel (U+9C54)	e9b194
鱕	U+9C55 (U+9C55)	e9b195
鱖	mandarin fish (U+9C56)	e9b196
鱗	fish scales (U+9C57)	e9b197
鱘	sturgeon (U+9C58)	e9b198
鱙	U+9C59 (U+9C59)	e9b199
鱚	U+9C5A (U+9C5A)	e9b19a
鱛	fish name (U+9C5B)	e9b19b
鱜	U+9C5C (U+9C5C)	e9b19c
鱝	fish (U+9C5D)	e9b19d
鱞	U+9C5E (U+9C5E)	e9b19e
鱟	king crab (U+9C5F)	e9b19f
鱠	minced fish; hash (U+9C60)	e9b1a0
鱡	the cuttle-fish (U+9C61)	e9b1a1
鱢	U+9C62 (U+9C62)	e9b1a2
鱣	sturgeon (U+9C63)	e9b1a3
鱤	U+9C64 (U+9C64)	e9b1a4
鱥	U+9C65 (U+9C65)	e9b1a5
鱦	U+9C66 (U+9C66)	e9b1a6
鱧	snakehead (U+9C67)	e9b1a7
鱨	codfish (U+9C68)	e9b1a8
鱩	U+9C69 (U+9C69)	e9b1a9
鱪	U+9C6A (U+9C6A)	e9b1aa
鱫	U+9C6B (U+9C6B)	e9b1ab
鱬	U+9C6C (U+9C6C)	e9b1ac
鱭	anchovy (U+9C6D)	e9b1ad
鱮	silver carp (Hypophthalmichthys molitrix); bream; (Cant.) 大嶼山 daai6ju4saan1 Lantau Island (U+9C6E)	e9b1ae
鱯	U+9C6F (U+9C6F)	e9b1af
鱰	U+9C70 (U+9C70)	e9b1b0
鱱	U+9C71 (U+9C71)	e9b1b1
鱲	(Cant.) 赤鱲角, Hong Kong place name (U+9C72)	e9b1b2
鱳	U+9C73 (U+9C73)	e9b1b3
鱴	U+9C74 (U+9C74)	e9b1b4
鱵	U+9C75 (U+9C75)	e9b1b5
鱶	a shark (U+9C76)	e9b1b6
鱷	crocodile, alligator (U+9C77)	e9b1b7
鱸	sea perch, sea bass (U+9C78)	e9b1b8
鱹	U+9C79 (U+9C79)	e9b1b9
鱺	eel (U+9C7A)	e9b1ba
鱻	fresh, new, delicious; rare, few (U+9C7B)	e9b1bb
鱼	fish; surname; KangXi radical 195 (U+9C7C)	e9b1bc
鱽	the mullet (U+9C7D)	e9b1bd
鱾	name of fish (U+9C7E)	e9b1be
鱿	cuttlefish (U+9C7F)	e9b1bf
鲀	blowfish, globefish, Spheroides vermicular (U+9C80)	e9b280
鲁	foolish, stupid, rash; vulgar (U+9C81)	e9b281
鲂	bream (U+9C82)	e9b282
鲃	a kind of fish; a bonito, (same as 鮁) shark (U+9C83)	e9b283
鲄	U+9C84 (U+9C84)	e9b284
鲅	fish name (U+9C85)	e9b285
鲆	sole (U+9C86)	e9b286
鲇	sheatfish, parasilurus asotus (U+9C87)	e9b287
鲈	sea perch, sea bass (U+9C88)	e9b288
鲉	U+9C89 (U+9C89)	e9b289
鲊	minced and salted fish; to preserve (U+9C8A)	e9b28a
鲋	carp, carassicus auratus (U+9C8B)	e9b28b
