𣵅	U+23D45 (U+23D45)	f0a3b585
𣵆	U+23D46 (U+23D46)	f0a3b586
𣵇	U+23D47 (U+23D47)	f0a3b587
𣵈	U+23D48 (U+23D48)	f0a3b588
𣵉	U+23D49 (U+23D49)	f0a3b589
𣵊	U+23D4A (U+23D4A)	f0a3b58a
𣵋	U+23D4B (U+23D4B)	f0a3b58b
𣵌	U+23D4C (U+23D4C)	f0a3b58c
𣵍	U+23D4D (U+23D4D)	f0a3b58d
𣵎	U+23D4E (U+23D4E)	f0a3b58e
𣵏	U+23D4F (U+23D4F)	f0a3b58f
𣵐	U+23D50 (U+23D50)	f0a3b590
𣵑	U+23D51 (U+23D51)	f0a3b591
𣵒	U+23D52 (U+23D52)	f0a3b592
𣵓	U+23D53 (U+23D53)	f0a3b593
𣵔	U+23D54 (U+23D54)	f0a3b594
𣵕	U+23D55 (U+23D55)	f0a3b595
𣵖	U+23D56 (U+23D56)	f0a3b596
𣵗	U+23D57 (U+23D57)	f0a3b597
𣵘	U+23D58 (U+23D58)	f0a3b598
𣵙	U+23D59 (U+23D59)	f0a3b599
𣵚	U+23D5A (U+23D5A)	f0a3b59a
𣵛	U+23D5B (U+23D5B)	f0a3b59b
𣵜	U+23D5C (U+23D5C)	f0a3b59c
𣵝	U+23D5D (U+23D5D)	f0a3b59d
𣵞	U+23D5E (U+23D5E)	f0a3b59e
𣵟	U+23D5F (U+23D5F)	f0a3b59f
𣵠	U+23D60 (U+23D60)	f0a3b5a0
𣵡	U+23D61 (U+23D61)	f0a3b5a1
𣵢	U+23D62 (U+23D62)	f0a3b5a2
