𩣍	U+298CD (U+298CD)	f0a9a38d
𩣎	U+298CE (U+298CE)	f0a9a38e
𩣏	U+298CF (U+298CF)	f0a9a38f
𩣐	U+298D0 (U+298D0)	f0a9a390
𩣑	(same as U+978D 鞍) saddle; a saddle-like terrain or thing (U+298D1)	f0a9a391
𩣒	U+298D2 (U+298D2)	f0a9a392
𩣓	U+298D3 (U+298D3)	f0a9a393
𩣔	U+298D4 (U+298D4)	f0a9a394
𩣕	U+298D5 (U+298D5)	f0a9a395
𩣖	U+298D6 (U+298D6)	f0a9a396
𩣗	U+298D7 (U+298D7)	f0a9a397
𩣘	U+298D8 (U+298D8)	f0a9a398
𩣙	U+298D9 (U+298D9)	f0a9a399
𩣚	U+298DA (U+298DA)	f0a9a39a
𩣛	U+298DB (U+298DB)	f0a9a39b
𩣜	U+298DC (U+298DC)	f0a9a39c
𩣝	U+298DD (U+298DD)	f0a9a39d
𩣞	U+298DE (U+298DE)	f0a9a39e
𩣟	U+298DF (U+298DF)	f0a9a39f
𩣠	U+298E0 (U+298E0)	f0a9a3a0
𩣡	U+298E1 (U+298E1)	f0a9a3a1
𩣢	U+298E2 (U+298E2)	f0a9a3a2
𩣣	U+298E3 (U+298E3)	f0a9a3a3
𩣤	U+298E4 (U+298E4)	f0a9a3a4
𩣥	U+298E5 (U+298E5)	f0a9a3a5
𩣦	U+298E6 (U+298E6)	f0a9a3a6
𩣧	U+298E7 (U+298E7)	f0a9a3a7
𩣨	U+298E8 (U+298E8)	f0a9a3a8
𩣩	U+298E9 (U+298E9)	f0a9a3a9
𩣪	U+298EA (U+298EA)	f0a9a3aa
𩣫	U+298EB (U+298EB)	f0a9a3ab
𩣬	U+298EC (U+298EC)	f0a9a3ac
𩣭	U+298ED (U+298ED)	f0a9a3ad
𩣮	U+298EE (U+298EE)	f0a9a3ae
𩣯	U+298EF (U+298EF)	f0a9a3af
𩣰	U+298F0 (U+298F0)	f0a9a3b0
𩣱	U+298F1 (U+298F1)	f0a9a3b1
𩣲	U+298F2 (U+298F2)	f0a9a3b2
𩣳	U+298F3 (U+298F3)	f0a9a3b3
𩣴	U+298F4 (U+298F4)	f0a9a3b4
𩣵	U+298F5 (U+298F5)	f0a9a3b5
𩣶	U+298F6 (U+298F6)	f0a9a3b6
𩣷	U+298F7 (U+298F7)	f0a9a3b7
𩣸	U+298F8 (U+298F8)	f0a9a3b8
𩣹	U+298F9 (U+298F9)	f0a9a3b9
𩣺	U+298FA (U+298FA)	f0a9a3ba
𩣻	U+298FB (U+298FB)	f0a9a3bb
𩣼	U+298FC (U+298FC)	f0a9a3bc
𩣽	U+298FD (U+298FD)	f0a9a3bd
𩣾	U+298FE (U+298FE)	f0a9a3be
𩣿	U+298FF (U+298FF)	f0a9a3bf
𩤀	U+29900 (U+29900)	f0a9a480
𩤁	U+29901 (U+29901)	f0a9a481
𩤂	U+29902 (U+29902)	f0a9a482
𩤃	U+29903 (U+29903)	f0a9a483
𩤄	U+29904 (U+29904)	f0a9a484
𩤅	U+29905 (U+29905)	f0a9a485
𩤆	U+29906 (U+29906)	f0a9a486
𩤇	U+29907 (U+29907)	f0a9a487
𩤈	U+29908 (U+29908)	f0a9a488
𩤉	U+29909 (U+29909)	f0a9a489
𩤊	U+2990A (U+2990A)	f0a9a48a
𩤋	U+2990B (U+2990B)	f0a9a48b
𩤌	U+2990C (U+2990C)	f0a9a48c
𩤍	U+2990D (U+2990D)	f0a9a48d
𩤎	U+2990E (U+2990E)	f0a9a48e
𩤏	U+2990F (U+2990F)	f0a9a48f
𩤐	U+29910 (U+29910)	f0a9a490
𩤑	U+29911 (U+29911)	f0a9a491
𩤒	U+29912 (U+29912)	f0a9a492
𩤓	U+29913 (U+29913)	f0a9a493
𩤔	U+29914 (U+29914)	f0a9a494
𩤕	U+29915 (U+29915)	f0a9a495
