𨃤	U+280E4 (U+280E4)	f0a883a4
𨃥	U+280E5 (U+280E5)	f0a883a5
𨃦	U+280E6 (U+280E6)	f0a883a6
𨃧	U+280E7 (U+280E7)	f0a883a7
𨃨	U+280E8 (U+280E8)	f0a883a8
𨃩	(Cant.) to slip, slide (U+280E9)	f0a883a9
𨃪	U+280EA (U+280EA)	f0a883aa
𨃫	U+280EB (U+280EB)	f0a883ab
𨃬	U+280EC (U+280EC)	f0a883ac
𨃭	U+280ED (U+280ED)	f0a883ad
𨃮	U+280EE (U+280EE)	f0a883ae
𨃯	U+280EF (U+280EF)	f0a883af
𨃰	U+280F0 (U+280F0)	f0a883b0
𨃱	U+280F1 (U+280F1)	f0a883b1
𨃲	U+280F2 (U+280F2)	f0a883b2
𨃳	U+280F3 (U+280F3)	f0a883b3
𨃴	U+280F4 (U+280F4)	f0a883b4
𨃵	U+280F5 (U+280F5)	f0a883b5
𨃶	U+280F6 (U+280F6)	f0a883b6
𨃷	U+280F7 (U+280F7)	f0a883b7
𨃸	U+280F8 (U+280F8)	f0a883b8
𨃹	U+280F9 (U+280F9)	f0a883b9
𨃺	U+280FA (U+280FA)	f0a883ba
𨃻	U+280FB (U+280FB)	f0a883bb
𨃼	U+280FC (U+280FC)	f0a883bc
𨃽	U+280FD (U+280FD)	f0a883bd
𨃾	U+280FE (U+280FE)	f0a883be
𨃿	U+280FF (U+280FF)	f0a883bf
𨄀	U+28100 (U+28100)	f0a88480
𨄁	U+28101 (U+28101)	f0a88481
𨄂	U+28102 (U+28102)	f0a88482
𨄃	U+28103 (U+28103)	f0a88483
𨄄	U+28104 (U+28104)	f0a88484
𨄅	U+28105 (U+28105)	f0a88485
𨄆	U+28106 (U+28106)	f0a88486
𨄇	U+28107 (U+28107)	f0a88487
𨄈	U+28108 (U+28108)	f0a88488
𨄉	U+28109 (U+28109)	f0a88489
𨄊	U+2810A (U+2810A)	f0a8848a
𨄋	U+2810B (U+2810B)	f0a8848b
𨄌	U+2810C (U+2810C)	f0a8848c
𨄍	U+2810D (U+2810D)	f0a8848d
𨄎	U+2810E (U+2810E)	f0a8848e
𨄏	U+2810F (U+2810F)	f0a8848f
𨄐	U+28110 (U+28110)	f0a88490
𨄑	U+28111 (U+28111)	f0a88491
