𧃐	U+270D0 (U+270D0)	f0a78390
𧃑	U+270D1 (U+270D1)	f0a78391
𧃒	U+270D2 (U+270D2)	f0a78392
𧃓	U+270D3 (U+270D3)	f0a78393
𧃔	U+270D4 (U+270D4)	f0a78394
𧃕	U+270D5 (U+270D5)	f0a78395
𧃖	U+270D6 (U+270D6)	f0a78396
𧃗	U+270D7 (U+270D7)	f0a78397
𧃘	U+270D8 (U+270D8)	f0a78398
𧃙	U+270D9 (U+270D9)	f0a78399
𧃚	U+270DA (U+270DA)	f0a7839a
𧃛	U+270DB (U+270DB)	f0a7839b
𧃜	U+270DC (U+270DC)	f0a7839c
𧃝	U+270DD (U+270DD)	f0a7839d
𧃞	U+270DE (U+270DE)	f0a7839e
𧃟	U+270DF (U+270DF)	f0a7839f
𧃠	U+270E0 (U+270E0)	f0a783a0
𧃡	U+270E1 (U+270E1)	f0a783a1
𧃢	U+270E2 (U+270E2)	f0a783a2
𧃣	U+270E3 (U+270E3)	f0a783a3
𧃤	U+270E4 (U+270E4)	f0a783a4
𧃥	U+270E5 (U+270E5)	f0a783a5
𧃦	U+270E6 (U+270E6)	f0a783a6
𧃧	U+270E7 (U+270E7)	f0a783a7
𧃨	U+270E8 (U+270E8)	f0a783a8
𧃩	U+270E9 (U+270E9)	f0a783a9
𧃪	U+270EA (U+270EA)	f0a783aa
𧃫	U+270EB (U+270EB)	f0a783ab
𧃬	U+270EC (U+270EC)	f0a783ac
𧃭	U+270ED (U+270ED)	f0a783ad
𧃮	U+270EE (U+270EE)	f0a783ae
𧃯	U+270EF (U+270EF)	f0a783af
𧃰	U+270F0 (U+270F0)	f0a783b0
𧃱	U+270F1 (U+270F1)	f0a783b1
𧃲	U+270F2 (U+270F2)	f0a783b2
𧃳	U+270F3 (U+270F3)	f0a783b3
𧃴	U+270F4 (U+270F4)	f0a783b4
𧃵	U+270F5 (U+270F5)	f0a783b5
𧃶	U+270F6 (U+270F6)	f0a783b6
𧃷	U+270F7 (U+270F7)	f0a783b7
𧃸	U+270F8 (U+270F8)	f0a783b8
𧃹	U+270F9 (U+270F9)	f0a783b9
𧃺	U+270FA (U+270FA)	f0a783ba
𧃻	U+270FB (U+270FB)	f0a783bb
𧃼	U+270FC (U+270FC)	f0a783bc
𧃽	U+270FD (U+270FD)	f0a783bd
𧃾	U+270FE (U+270FE)	f0a783be
𧃿	U+270FF (U+270FF)	f0a783bf
𧄀	U+27100 (U+27100)	f0a78480
𧄁	U+27101 (U+27101)	f0a78481
𧄂	U+27102 (U+27102)	f0a78482
𧄃	U+27103 (U+27103)	f0a78483
𧄄	U+27104 (U+27104)	f0a78484
𧄅	U+27105 (U+27105)	f0a78485
𧄆	U+27106 (U+27106)	f0a78486
𧄇	U+27107 (U+27107)	f0a78487
𧄈	U+27108 (U+27108)	f0a78488
𧄉	U+27109 (U+27109)	f0a78489
𧄊	U+2710A (U+2710A)	f0a7848a
𧄋	U+2710B (U+2710B)	f0a7848b
𧄌	U+2710C (U+2710C)	f0a7848c
𧄍	U+2710D (U+2710D)	f0a7848d
𧄎	U+2710E (U+2710E)	f0a7848e
𧄏	U+2710F (U+2710F)	f0a7848f
𧄐	U+27110 (U+27110)	f0a78490
𧄑	U+27111 (U+27111)	f0a78491
𧄒	U+27112 (U+27112)	f0a78492
𧄓	U+27113 (U+27113)	f0a78493
𧄔	U+27114 (U+27114)	f0a78494
𧄕	U+27115 (U+27115)	f0a78495
𧄖	U+27116 (U+27116)	f0a78496
𧄗	U+27117 (U+27117)	f0a78497
𧄘	U+27118 (U+27118)	f0a78498
𧄙	U+27119 (U+27119)	f0a78499
𧄚	U+2711A (U+2711A)	f0a7849a
𧄛	U+2711B (U+2711B)	f0a7849b
𧄜	U+2711C (U+2711C)	f0a7849c
𧄝	U+2711D (U+2711D)	f0a7849d
𧄞	U+2711E (U+2711E)	f0a7849e
𧄟	U+2711F (U+2711F)	f0a7849f
𧄠	U+27120 (U+27120)	f0a784a0
𧄡	U+27121 (U+27121)	f0a784a1
𧄢	U+27122 (U+27122)	f0a784a2
𧄣	U+27123 (U+27123)	f0a784a3
𧄤	U+27124 (U+27124)	f0a784a4
𧄥	U+27125 (U+27125)	f0a784a5
𧄦	U+27126 (U+27126)	f0a784a6
𧄧	U+27127 (U+27127)	f0a784a7
𧄨	U+27128 (U+27128)	f0a784a8
𧄩	U+27129 (U+27129)	f0a784a9
𧄪	U+2712A (U+2712A)	f0a784aa
𧄫	U+2712B (U+2712B)	f0a784ab
𧄬	U+2712C (U+2712C)	f0a784ac
𧄭	U+2712D (U+2712D)	f0a784ad
𧄮	U+2712E (U+2712E)	f0a784ae
𧄯	U+2712F (U+2712F)	f0a784af
𧄰	U+27130 (U+27130)	f0a784b0
𧄱	U+27131 (U+27131)	f0a784b1
𧄲	U+27132 (U+27132)	f0a784b2
𧄳	U+27133 (U+27133)	f0a784b3
𧄴	U+27134 (U+27134)	f0a784b4
𧄵	U+27135 (U+27135)	f0a784b5
𧄶	U+27136 (U+27136)	f0a784b6
𧄷	U+27137 (U+27137)	f0a784b7
𧄸	U+27138 (U+27138)	f0a784b8
𧄹	U+27139 (U+27139)	f0a784b9
𧄺	U+2713A (U+2713A)	f0a784ba
𧄻	U+2713B (U+2713B)	f0a784bb
𧄼	U+2713C (U+2713C)	f0a784bc
𧄽	U+2713D (U+2713D)	f0a784bd
𧄾	U+2713E (U+2713E)	f0a784be
𧄿	U+2713F (U+2713F)	f0a784bf
𧅀	U+27140 (U+27140)	f0a78580
𧅁	U+27141 (U+27141)	f0a78581
𧅂	U+27142 (U+27142)	f0a78582
𧅃	U+27143 (U+27143)	f0a78583
𧅄	U+27144 (U+27144)	f0a78584
𧅅	U+27145 (U+27145)	f0a78585
𧅆	U+27146 (U+27146)	f0a78586
𧅇	U+27147 (U+27147)	f0a78587
𧅈	U+27148 (U+27148)	f0a78588
𧅉	U+27149 (U+27149)	f0a78589
𧅊	U+2714A (U+2714A)	f0a7858a
𧅋	U+2714B (U+2714B)	f0a7858b
𧅌	U+2714C (U+2714C)	f0a7858c
𧅍	U+2714D (U+2714D)	f0a7858d
𧅎	U+2714E (U+2714E)	f0a7858e
𧅏	U+2714F (U+2714F)	f0a7858f
𧅐	U+27150 (U+27150)	f0a78590
𧅑	U+27151 (U+27151)	f0a78591
𧅒	U+27152 (U+27152)	f0a78592
𧅓	U+27153 (U+27153)	f0a78593
𧅔	U+27154 (U+27154)	f0a78594
𧅕	U+27155 (U+27155)	f0a78595
𧅖	U+27156 (U+27156)	f0a78596
𧅗	U+27157 (U+27157)	f0a78597
𧅘	U+27158 (U+27158)	f0a78598
𧅙	U+27159 (U+27159)	f0a78599
𧅚	U+2715A (U+2715A)	f0a7859a
𧅛	U+2715B (U+2715B)	f0a7859b
𧅜	U+2715C (U+2715C)	f0a7859c
𧅝	U+2715D (U+2715D)	f0a7859d
𧅞	U+2715E (U+2715E)	f0a7859e
𧅟	U+2715F (U+2715F)	f0a7859f
𧅠	U+27160 (U+27160)	f0a785a0
𧅡	U+27161 (U+27161)	f0a785a1
𧅢	U+27162 (U+27162)	f0a785a2
𧅣	U+27163 (U+27163)	f0a785a3
𧅤	U+27164 (U+27164)	f0a785a4
𧅥	U+27165 (U+27165)	f0a785a5
𧅦	U+27166 (U+27166)	f0a785a6
𧅧	U+27167 (U+27167)	f0a785a7
𧅨	U+27168 (U+27168)	f0a785a8
𧅩	U+27169 (U+27169)	f0a785a9
𧅪	U+2716A (U+2716A)	f0a785aa
𧅫	U+2716B (U+2716B)	f0a785ab
𧅬	U+2716C (U+2716C)	f0a785ac
𧅭	U+2716D (U+2716D)	f0a785ad
𧅮	U+2716E (U+2716E)	f0a785ae
𧅯	U+2716F (U+2716F)	f0a785af
𧅰	U+27170 (U+27170)	f0a785b0
𧅱	U+27171 (U+27171)	f0a785b1
𧅲	U+27172 (U+27172)	f0a785b2
𧅳	U+27173 (U+27173)	f0a785b3
𧅴	U+27174 (U+27174)	f0a785b4
𧅵	U+27175 (U+27175)	f0a785b5
𧅶	U+27176 (U+27176)	f0a785b6
𧅷	U+27177 (U+27177)	f0a785b7
𧅸	U+27178 (U+27178)	f0a785b8
𧅹	U+27179 (U+27179)	f0a785b9
𧅺	U+2717A (U+2717A)	f0a785ba
𧅻	U+2717B (U+2717B)	f0a785bb
𧅼	U+2717C (U+2717C)	f0a785bc
𧅽	U+2717D (U+2717D)	f0a785bd
𧅾	U+2717E (U+2717E)	f0a785be
𧅿	U+2717F (U+2717F)	f0a785bf
𧆀	U+27180 (U+27180)	f0a78680
𧆁	U+27181 (U+27181)	f0a78681
𧆂	U+27182 (U+27182)	f0a78682
𧆃	U+27183 (U+27183)	f0a78683
𧆄	U+27184 (U+27184)	f0a78684
𧆅	U+27185 (U+27185)	f0a78685
𧆆	U+27186 (U+27186)	f0a78686
𧆇	U+27187 (U+27187)	f0a78687
𧆈	U+27188 (U+27188)	f0a78688
𧆉	U+27189 (U+27189)	f0a78689
𧆊	U+2718A (U+2718A)	f0a7868a
𧆋	U+2718B (U+2718B)	f0a7868b
𧆌	U+2718C (U+2718C)	f0a7868c
𧆍	U+2718D (U+2718D)	f0a7868d
𧆎	U+2718E (U+2718E)	f0a7868e
𧆏	U+2718F (U+2718F)	f0a7868f
𧆐	U+27190 (U+27190)	f0a78690
𧆑	U+27191 (U+27191)	f0a78691
𧆒	U+27192 (U+27192)	f0a78692
𧆓	U+27193 (U+27193)	f0a78693
𧆔	U+27194 (U+27194)	f0a78694
𧆕	U+27195 (U+27195)	f0a78695
