𩕖	U+29556 (U+29556)	f0a99596
𩕗	U+29557 (U+29557)	f0a99597
𩕘	U+29558 (U+29558)	f0a99598
𩕙	U+29559 (U+29559)	f0a99599
𩕚	U+2955A (U+2955A)	f0a9959a
𩕛	U+2955B (U+2955B)	f0a9959b
𩕜	U+2955C (U+2955C)	f0a9959c
𩕝	U+2955D (U+2955D)	f0a9959d
𩕞	U+2955E (U+2955E)	f0a9959e
𩕟	U+2955F (U+2955F)	f0a9959f
𩕠	U+29560 (U+29560)	f0a995a0
𩕡	U+29561 (U+29561)	f0a995a1
𩕢	U+29562 (U+29562)	f0a995a2
𩕣	U+29563 (U+29563)	f0a995a3
𩕤	U+29564 (U+29564)	f0a995a4
𩕥	U+29565 (U+29565)	f0a995a5
𩕦	U+29566 (U+29566)	f0a995a6
𩕧	U+29567 (U+29567)	f0a995a7
𩕨	U+29568 (U+29568)	f0a995a8
𩕩	U+29569 (U+29569)	f0a995a9
𩕪	U+2956A (U+2956A)	f0a995aa
𩕫	U+2956B (U+2956B)	f0a995ab
𩕬	U+2956C (U+2956C)	f0a995ac
𩕭	the top of a skull (U+2956D)	f0a995ad
𩕮	U+2956E (U+2956E)	f0a995ae
𩕯	U+2956F (U+2956F)	f0a995af
𩕰	U+29570 (U+29570)	f0a995b0
𩕱	U+29571 (U+29571)	f0a995b1
𩕲	U+29572 (U+29572)	f0a995b2
𩕳	U+29573 (U+29573)	f0a995b3
𩕴	U+29574 (U+29574)	f0a995b4
𩕵	U+29575 (U+29575)	f0a995b5
𩕶	U+29576 (U+29576)	f0a995b6
𩕷	U+29577 (U+29577)	f0a995b7
𩕸	U+29578 (U+29578)	f0a995b8
𩕹	U+29579 (U+29579)	f0a995b9
𩕺	U+2957A (U+2957A)	f0a995ba
𩕻	U+2957B (U+2957B)	f0a995bb
𩕼	U+2957C (U+2957C)	f0a995bc
𩕽	U+2957D (U+2957D)	f0a995bd
𩕾	U+2957E (U+2957E)	f0a995be
𩕿	U+2957F (U+2957F)	f0a995bf
𩖀	U+29580 (U+29580)	f0a99680
𩖁	U+29581 (U+29581)	f0a99681
𩖂	U+29582 (U+29582)	f0a99682
𩖃	U+29583 (U+29583)	f0a99683
𩖄	U+29584 (U+29584)	f0a99684
𩖅	U+29585 (U+29585)	f0a99685
𩖆	U+29586 (U+29586)	f0a99686
𩖇	U+29587 (U+29587)	f0a99687
𩖈	U+29588 (U+29588)	f0a99688
𩖉	U+29589 (U+29589)	f0a99689
𩖊	U+2958A (U+2958A)	f0a9968a
𩖋	U+2958B (U+2958B)	f0a9968b
𩖌	U+2958C (U+2958C)	f0a9968c
𩖍	U+2958D (U+2958D)	f0a9968d
𩖎	U+2958E (U+2958E)	f0a9968e
𩖏	U+2958F (U+2958F)	f0a9968f
𩖐	U+29590 (U+29590)	f0a99690
𩖑	U+29591 (U+29591)	f0a99691
𩖒	U+29592 (U+29592)	f0a99692
𩖓	U+29593 (U+29593)	f0a99693
𩖔	U+29594 (U+29594)	f0a99694
𩖕	U+29595 (U+29595)	f0a99695
𩖖	U+29596 (U+29596)	f0a99696
𩖗	U+29597 (U+29597)	f0a99697
𩖘	U+29598 (U+29598)	f0a99698
𩖙	U+29599 (U+29599)	f0a99699
𩖚	U+2959A (U+2959A)	f0a9969a
𩖛	U+2959B (U+2959B)	f0a9969b
𩖜	U+2959C (U+2959C)	f0a9969c
𩖝	U+2959D (U+2959D)	f0a9969d
𩖞	U+2959E (U+2959E)	f0a9969e
𩖟	U+2959F (U+2959F)	f0a9969f
𩖠	U+295A0 (U+295A0)	f0a996a0
𩖡	U+295A1 (U+295A1)	f0a996a1
𩖢	U+295A2 (U+295A2)	f0a996a2
𩖣	U+295A3 (U+295A3)	f0a996a3
𩖤	U+295A4 (U+295A4)	f0a996a4
