寿	old age, long life; lifespan (U+5BFF)	e5afbf
尀	cannot; thereupon (U+5C00)	e5b080
封	letter, envelope; feudal (U+5C01)	e5b081
専	monopolize, take sole possession (U+5C02)	e5b082
尃	to state to, to announce (U+5C03)	e5b083
射	shoot, eject, issue forth, emit (U+5C04)	e5b084
尅	subdue, destroy, overcome (U+5C05)	e5b085
将	will, going to, future; general (U+5C06)	e5b086
將	will, going to, future; general (U+5C07)	e5b087
專	monopolize, take sole possession (U+5C08)	e5b088
尉	officer, military rank (U+5C09)	e5b089
尊	respect, revere, venerate; honor (U+5C0A)	e5b08a
尋	seek, search, look for; ancient (U+5C0B)	e5b08b
尌	standing (something) up (U+5C0C)	e5b08c
對	correct, right; facing, opposed (U+5C0D)	e5b08d
導	direct, guide, lead, conduct (U+5C0E)	e5b08e
小	small, tiny, insignificant (U+5C0F)	e5b08f
尐	U+5C10 (U+5C10)	e5b090
少	few, less, inadequate (U+5C11)	e5b091
尒	you, your (U+5C12)	e5b092
尓	you; that (U+5C13)	e5b093
尔	you; that, those; final particle (U+5C14)	e5b094
尕	small (used in place names) (U+5C15)	e5b095
尖	sharp, pointed, acute, keen (U+5C16)	e5b096
尗	younger of brothers; father's younger brother younger brother of a husband (U+5C17)	e5b097
尘	dust, dirt, ashes, cinders (U+5C18)	e5b098
尙	still, yet; even; fairly, rather (U+5C19)	e5b099
尚	still, yet; even; fairly, rather (U+5C1A)	e5b09a
尛	U+5C1B (U+5C1B)	e5b09b
尜	a child toy (U+5C1C)	e5b09c
尝	taste; experience, experiment (U+5C1D)	e5b09d
尞	fuel used for sacrifices (U+5C1E)	e5b09e
尟	surname; fresh (U+5C1F)	e5b09f
尠	very few; seldom, rarely (U+5C20)	e5b0a0
尡	U+5C21 (U+5C21)	e5b0a1
尢	weak; KangXi radical 43 (U+5C22)	e5b0a2
尣	lame; the first form is Radical 43 (U+5C23)	e5b0a3
尤	especially, particularly (U+5C24)	e5b0a4
尥	U+5C25 (U+5C25)	e5b0a5
尦	U+5C26 (U+5C26)	e5b0a6
尧	a legendary ancient emperor-sage (U+5C27)	e5b0a7
尨	shaggy haired dog; variegated (U+5C28)	e5b0a8
尩	weak; a rickety person; emaciated (U+5C29)	e5b0a9
尪	lame (U+5C2A)	e5b0aa
尫	lame (U+5C2B)	e5b0ab
尬	limp, staggering gait; embarrass (U+5C2C)	e5b0ac
尭	a legendary ancient emperor-sage (U+5C2D)	e5b0ad
尮	U+5C2E (U+5C2E)	e5b0ae
尯	U+5C2F (U+5C2F)	e5b0af
尰	swell, swelling of the legs (U+5C30)	e5b0b0
就	just, simply; to come, go to; to approach, near (U+5C31)	e5b0b1
尲	limp; be embarrassed (U+5C32)	e5b0b2
尳	U+5C33 (U+5C33)	e5b0b3
尴	embarrassed; ill at ease (U+5C34)	e5b0b4
尵	U+5C35 (U+5C35)	e5b0b5
