𫄶	U+2B136 (U+2B136)	f0ab84b6
𫄷	U+2B137 (U+2B137)	f0ab84b7
𫄸	light red, pink (U+2B138)	f0ab84b8
𫄹	U+2B139 (U+2B139)	f0ab84b9
𫄺	U+2B13A (U+2B13A)	f0ab84ba
𫄻	U+2B13B (U+2B13B)	f0ab84bb
𫄼	U+2B13C (U+2B13C)	f0ab84bc
𫄽	U+2B13D (U+2B13D)	f0ab84bd
𫄾	U+2B13E (U+2B13E)	f0ab84be
𫄿	U+2B13F (U+2B13F)	f0ab84bf
𫅀	U+2B140 (U+2B140)	f0ab8580
𫅁	U+2B141 (U+2B141)	f0ab8581
𫅂	U+2B142 (U+2B142)	f0ab8582
𫅃	U+2B143 (U+2B143)	f0ab8583
𫅄	U+2B144 (U+2B144)	f0ab8584
𫅅	U+2B145 (U+2B145)	f0ab8585
𫅆	U+2B146 (U+2B146)	f0ab8586
𫅇	U+2B147 (U+2B147)	f0ab8587
𫅈	U+2B148 (U+2B148)	f0ab8588
𫅉	U+2B149 (U+2B149)	f0ab8589
𫅊	U+2B14A (U+2B14A)	f0ab858a
𫅋	U+2B14B (U+2B14B)	f0ab858b
𫅌	U+2B14C (U+2B14C)	f0ab858c
𫅍	U+2B14D (U+2B14D)	f0ab858d
𫅎	U+2B14E (U+2B14E)	f0ab858e
𫅏	U+2B14F (U+2B14F)	f0ab858f
𫅐	U+2B150 (U+2B150)	f0ab8590
𫅑	U+2B151 (U+2B151)	f0ab8591
𫅒	U+2B152 (U+2B152)	f0ab8592
𫅓	U+2B153 (U+2B153)	f0ab8593
𫅔	U+2B154 (U+2B154)	f0ab8594
𫅕	U+2B155 (U+2B155)	f0ab8595
𫅖	U+2B156 (U+2B156)	f0ab8596
𫅗	U+2B157 (U+2B157)	f0ab8597
𫅘	U+2B158 (U+2B158)	f0ab8598
𫅙	U+2B159 (U+2B159)	f0ab8599
𫅚	U+2B15A (U+2B15A)	f0ab859a
𫅛	U+2B15B (U+2B15B)	f0ab859b
𫅜	U+2B15C (U+2B15C)	f0ab859c
𫅝	U+2B15D (U+2B15D)	f0ab859d
𫅞	U+2B15E (U+2B15E)	f0ab859e
𫅟	U+2B15F (U+2B15F)	f0ab859f
𫅠	U+2B160 (U+2B160)	f0ab85a0
𫅡	U+2B161 (U+2B161)	f0ab85a1
𫅢	U+2B162 (U+2B162)	f0ab85a2
𫅣	U+2B163 (U+2B163)	f0ab85a3
𫅤	U+2B164 (U+2B164)	f0ab85a4
𫅥	U+2B165 (U+2B165)	f0ab85a5
𫅦	U+2B166 (U+2B166)	f0ab85a6
𫅧	U+2B167 (U+2B167)	f0ab85a7
