𪳃	U+2ACC3 (U+2ACC3)	f0aab383
𪳄	U+2ACC4 (U+2ACC4)	f0aab384
𪳅	U+2ACC5 (U+2ACC5)	f0aab385
𪳆	U+2ACC6 (U+2ACC6)	f0aab386
𪳇	U+2ACC7 (U+2ACC7)	f0aab387
𪳈	U+2ACC8 (U+2ACC8)	f0aab388
𪳉	U+2ACC9 (U+2ACC9)	f0aab389
𪳊	U+2ACCA (U+2ACCA)	f0aab38a
𪳋	U+2ACCB (U+2ACCB)	f0aab38b
𪳌	U+2ACCC (U+2ACCC)	f0aab38c
𪳍	U+2ACCD (U+2ACCD)	f0aab38d
𪳎	U+2ACCE (U+2ACCE)	f0aab38e
𪳏	U+2ACCF (U+2ACCF)	f0aab38f
𪳐	U+2ACD0 (U+2ACD0)	f0aab390
𪳑	U+2ACD1 (U+2ACD1)	f0aab391
𪳒	U+2ACD2 (U+2ACD2)	f0aab392
𪳓	U+2ACD3 (U+2ACD3)	f0aab393
𪳔	U+2ACD4 (U+2ACD4)	f0aab394
𪳕	U+2ACD5 (U+2ACD5)	f0aab395
𪳖	U+2ACD6 (U+2ACD6)	f0aab396
𪳗	U+2ACD7 (U+2ACD7)	f0aab397
𪳘	U+2ACD8 (U+2ACD8)	f0aab398
𪳙	U+2ACD9 (U+2ACD9)	f0aab399
𪳚	U+2ACDA (U+2ACDA)	f0aab39a
𪳛	U+2ACDB (U+2ACDB)	f0aab39b
𪳜	U+2ACDC (U+2ACDC)	f0aab39c
𪳝	U+2ACDD (U+2ACDD)	f0aab39d
𪳞	U+2ACDE (U+2ACDE)	f0aab39e
𪳟	U+2ACDF (U+2ACDF)	f0aab39f
𪳠	U+2ACE0 (U+2ACE0)	f0aab3a0
𪳡	U+2ACE1 (U+2ACE1)	f0aab3a1
𪳢	U+2ACE2 (U+2ACE2)	f0aab3a2
𪳣	U+2ACE3 (U+2ACE3)	f0aab3a3
𪳤	U+2ACE4 (U+2ACE4)	f0aab3a4
𪳥	U+2ACE5 (U+2ACE5)	f0aab3a5
𪳦	U+2ACE6 (U+2ACE6)	f0aab3a6
𪳧	U+2ACE7 (U+2ACE7)	f0aab3a7
𪳨	U+2ACE8 (U+2ACE8)	f0aab3a8
𪳩	U+2ACE9 (U+2ACE9)	f0aab3a9
𪳪	U+2ACEA (U+2ACEA)	f0aab3aa
𪳫	U+2ACEB (U+2ACEB)	f0aab3ab
𪳬	U+2ACEC (U+2ACEC)	f0aab3ac
𪳭	U+2ACED (U+2ACED)	f0aab3ad
𪳮	U+2ACEE (U+2ACEE)	f0aab3ae
𪳯	U+2ACEF (U+2ACEF)	f0aab3af
𪳰	U+2ACF0 (U+2ACF0)	f0aab3b0
𪳱	U+2ACF1 (U+2ACF1)	f0aab3b1
𪳲	U+2ACF2 (U+2ACF2)	f0aab3b2
𪳳	U+2ACF3 (U+2ACF3)	f0aab3b3
𪳴	U+2ACF4 (U+2ACF4)	f0aab3b4
𪳵	U+2ACF5 (U+2ACF5)	f0aab3b5
𪳶	U+2ACF6 (U+2ACF6)	f0aab3b6
𪳷	U+2ACF7 (U+2ACF7)	f0aab3b7
𪳸	U+2ACF8 (U+2ACF8)	f0aab3b8
𪳹	U+2ACF9 (U+2ACF9)	f0aab3b9
𪳺	U+2ACFA (U+2ACFA)	f0aab3ba
𪳻	U+2ACFB (U+2ACFB)	f0aab3bb
𪳼	U+2ACFC (U+2ACFC)	f0aab3bc
𪳽	U+2ACFD (U+2ACFD)	f0aab3bd
𪳾	U+2ACFE (U+2ACFE)	f0aab3be
𪳿	U+2ACFF (U+2ACFF)	f0aab3bf
𪴀	U+2AD00 (U+2AD00)	f0aab480
𪴁	U+2AD01 (U+2AD01)	f0aab481
𪴂	U+2AD02 (U+2AD02)	f0aab482
𪴃	U+2AD03 (U+2AD03)	f0aab483
𪴄	U+2AD04 (U+2AD04)	f0aab484
𪴅	U+2AD05 (U+2AD05)	f0aab485
𪴆	U+2AD06 (U+2AD06)	f0aab486
𪴇	U+2AD07 (U+2AD07)	f0aab487
𪴈	U+2AD08 (U+2AD08)	f0aab488
𪴉	U+2AD09 (U+2AD09)	f0aab489
𪴊	U+2AD0A (U+2AD0A)	f0aab48a
𪴋	U+2AD0B (U+2AD0B)	f0aab48b
𪴌	U+2AD0C (U+2AD0C)	f0aab48c
𪴍	U+2AD0D (U+2AD0D)	f0aab48d
𪴎	U+2AD0E (U+2AD0E)	f0aab48e
𪴏	U+2AD0F (U+2AD0F)	f0aab48f
𪴐	U+2AD10 (U+2AD10)	f0aab490
𪴑	U+2AD11 (U+2AD11)	f0aab491
𪴒	U+2AD12 (U+2AD12)	f0aab492
𪴓	U+2AD13 (U+2AD13)	f0aab493
𪴔	U+2AD14 (U+2AD14)	f0aab494
𪴕	U+2AD15 (U+2AD15)	f0aab495
𪴖	U+2AD16 (U+2AD16)	f0aab496
𪴗	U+2AD17 (U+2AD17)	f0aab497
𪴘	U+2AD18 (U+2AD18)	f0aab498
𪴙	U+2AD19 (U+2AD19)	f0aab499
𪴚	U+2AD1A (U+2AD1A)	f0aab49a
