磙	roller (U+78D9)	e7a399
磚	tile, brick (U+78DA)	e7a39a
磛	cliff (U+78DB)	e7a39b
磜	U+78DC (U+78DC)	e7a39c
磝	U+78DD (U+78DD)	e7a39d
磞	U+78DE (U+78DE)	e7a39e
磟	mediocre; busy; occupied; roller (U+78DF)	e7a39f
磠	sal ammoniac; sand; pebble (U+78E0)	e7a3a0
磡	cliff, ledge, bank; step (U+78E1)	e7a3a1
磢	(Cant.) to grind; a roller (U+78E2)	e7a3a2
磣	gritty (U+78E3)	e7a3a3
磤	U+78E4 (U+78E4)	e7a3a4
磥	a heap of stones; boulders (U+78E5)	e7a3a5
磦	U+78E6 (U+78E6)	e7a3a6
磧	sand and gravel; rocks exposed at low tide; to crush (U+78E7)	e7a3a7
磨	grind; polish; rub; wear out; a millstone (U+78E8)	e7a3a8
磩	U+78E9 (U+78E9)	e7a3a9
磪	a high mountain; precipitous (U+78EA)	e7a3aa
磫	U+78EB (U+78EB)	e7a3ab
磬	musical instrument; musical stone (U+78EC)	e7a3ac
磭	U+78ED (U+78ED)	e7a3ad
磮	U+78EE (U+78EE)	e7a3ae
磯	jetty; submerged rock; eddy (U+78EF)	e7a3af
磰	U+78F0 (U+78F0)	e7a3b0
磱	U+78F1 (U+78F1)	e7a3b1
磲	U+78F2 (U+78F2)	e7a3b2
磳	U+78F3 (U+78F3)	e7a3b3
磴	steps on ledge, cliff, or hill (U+78F4)	e7a3b4
磵	brook, mountain stream (U+78F5)	e7a3b5
磶	U+78F6 (U+78F6)	e7a3b6
磷	phosphorus; water rushing between (U+78F7)	e7a3b7
磸	U+78F8 (U+78F8)	e7a3b8
磹	U+78F9 (U+78F9)	e7a3b9
磺	sulphur; brimstone (U+78FA)	e7a3ba
磻	a tributary of the Wei river in Shanxi (U+78FB)	e7a3bb
磼	U+78FC (U+78FC)	e7a3bc
磽	barren land; sandy soil (U+78FD)	e7a3bd
磾	U+78FE (U+78FE)	e7a3be
磿	U+78FF (U+78FF)	e7a3bf
礀	U+7900 (U+7900)	e7a480
礁	reef; jetty; submerged rocks (U+7901)	e7a481
礂	U+7902 (U+7902)	e7a482
礃	U+7903 (U+7903)	e7a483
礄	place in Sichuan province (U+7904)	e7a484
礅	U+7905 (U+7905)	e7a485
礆	alkaline, alkali, lye, salt (U+7906)	e7a486
礇	U+7907 (U+7907)	e7a487
礈	U+7908 (U+7908)	e7a488
礉	U+7909 (U+7909)	e7a489
礊	U+790A (U+790A)	e7a48a
礋	U+790B (U+790B)	e7a48b
礌	U+790C (U+790C)	e7a48c
礍	U+790D (U+790D)	e7a48d
礎	foundation stone, plinth (U+790E)	e7a48e
礏	U+790F (U+790F)	e7a48f
礐	U+7910 (U+7910)	e7a490
礑	U+7911 (U+7911)	e7a491
礒	U+7912 (U+7912)	e7a492
礓	U+7913 (U+7913)	e7a493
礔	U+7914 (U+7914)	e7a494
礕	U+7915 (U+7915)	e7a495
礖	U+7916 (U+7916)	e7a496
礗	U+7917 (U+7917)	e7a497
礘	U+7918 (U+7918)	e7a498
礙	obstruct, hinder, block, deter (U+7919)	e7a499
礚	U+791A (U+791A)	e7a49a
礛	U+791B (U+791B)	e7a49b
礜	U+791C (U+791C)	e7a49c
礝	U+791D (U+791D)	e7a49d
礞	U+791E (U+791E)	e7a49e
