𫓻	U+2B4FB (U+2B4FB)	f0ab93bb
𫓼	U+2B4FC (U+2B4FC)	f0ab93bc
𫓽	U+2B4FD (U+2B4FD)	f0ab93bd
𫓾	U+2B4FE (U+2B4FE)	f0ab93be
𫓿	U+2B4FF (U+2B4FF)	f0ab93bf
𫔀	U+2B500 (U+2B500)	f0ab9480
𫔁	U+2B501 (U+2B501)	f0ab9481
𫔂	U+2B502 (U+2B502)	f0ab9482
𫔃	U+2B503 (U+2B503)	f0ab9483
𫔄	U+2B504 (U+2B504)	f0ab9484
𫔅	U+2B505 (U+2B505)	f0ab9485
𫔆	U+2B506 (U+2B506)	f0ab9486
𫔇	U+2B507 (U+2B507)	f0ab9487
𫔈	U+2B508 (U+2B508)	f0ab9488
𫔉	U+2B509 (U+2B509)	f0ab9489
𫔊	U+2B50A (U+2B50A)	f0ab948a
𫔋	U+2B50B (U+2B50B)	f0ab948b
𫔌	U+2B50C (U+2B50C)	f0ab948c
𫔍	U+2B50D (U+2B50D)	f0ab948d
𫔎	hasp of a lock (U+2B50E)	f0ab948e
𫔏	U+2B50F (U+2B50F)	f0ab948f
𫔐	U+2B510 (U+2B510)	f0ab9490
𫔑	U+2B511 (U+2B511)	f0ab9491
𫔒	U+2B512 (U+2B512)	f0ab9492
𫔓	U+2B513 (U+2B513)	f0ab9493
𫔔	U+2B514 (U+2B514)	f0ab9494
𫔕	U+2B515 (U+2B515)	f0ab9495
𫔖	U+2B516 (U+2B516)	f0ab9496
𫔗	U+2B517 (U+2B517)	f0ab9497
𫔘	U+2B518 (U+2B518)	f0ab9498
𫔙	U+2B519 (U+2B519)	f0ab9499
𫔚	U+2B51A (U+2B51A)	f0ab949a
𫔛	U+2B51B (U+2B51B)	f0ab949b
𫔜	U+2B51C (U+2B51C)	f0ab949c
𫔝	U+2B51D (U+2B51D)	f0ab949d
𫔞	U+2B51E (U+2B51E)	f0ab949e
𫔟	U+2B51F (U+2B51F)	f0ab949f
𫔠	U+2B520 (U+2B520)	f0ab94a0
𫔡	U+2B521 (U+2B521)	f0ab94a1
𫔢	U+2B522 (U+2B522)	f0ab94a2
𫔣	U+2B523 (U+2B523)	f0ab94a3
𫔤	U+2B524 (U+2B524)	f0ab94a4
𫔥	U+2B525 (U+2B525)	f0ab94a5
𫔦	U+2B526 (U+2B526)	f0ab94a6
𫔧	U+2B527 (U+2B527)	f0ab94a7
𫔨	U+2B528 (U+2B528)	f0ab94a8
𫔩	U+2B529 (U+2B529)	f0ab94a9
𫔪	U+2B52A (U+2B52A)	f0ab94aa
𫔫	U+2B52B (U+2B52B)	f0ab94ab
𫔬	U+2B52C (U+2B52C)	f0ab94ac
𫔭	U+2B52D (U+2B52D)	f0ab94ad
𫔮	U+2B52E (U+2B52E)	f0ab94ae
𫔯	U+2B52F (U+2B52F)	f0ab94af
𫔰	U+2B530 (U+2B530)	f0ab94b0
𫔱	U+2B531 (U+2B531)	f0ab94b1
𫔲	U+2B532 (U+2B532)	f0ab94b2
𫔳	U+2B533 (U+2B533)	f0ab94b3
𫔴	U+2B534 (U+2B534)	f0ab94b4
𫔵	U+2B535 (U+2B535)	f0ab94b5
𫔶	U+2B536 (U+2B536)	f0ab94b6
𫔷	U+2B537 (U+2B537)	f0ab94b7
𫔸	U+2B538 (U+2B538)	f0ab94b8
𫔹	U+2B539 (U+2B539)	f0ab94b9
𫔺	U+2B53A (U+2B53A)	f0ab94ba
𫔻	U+2B53B (U+2B53B)	f0ab94bb
𫔼	U+2B53C (U+2B53C)	f0ab94bc
𫔽	U+2B53D (U+2B53D)	f0ab94bd
𫔾	U+2B53E (U+2B53E)	f0ab94be
𫔿	U+2B53F (U+2B53F)	f0ab94bf
𫕀	U+2B540 (U+2B540)	f0ab9580
𫕁	U+2B541 (U+2B541)	f0ab9581
𫕂	U+2B542 (U+2B542)	f0ab9582
𫕃	U+2B543 (U+2B543)	f0ab9583
𫕄	U+2B544 (U+2B544)	f0ab9584
𫕅	U+2B545 (U+2B545)	f0ab9585
𫕆	U+2B546 (U+2B546)	f0ab9586
𫕇	U+2B547 (U+2B547)	f0ab9587
𫕈	U+2B548 (U+2B548)	f0ab9588
𫕉	U+2B549 (U+2B549)	f0ab9589
𫕊	U+2B54A (U+2B54A)	f0ab958a
𫕋	U+2B54B (U+2B54B)	f0ab958b
𫕌	U+2B54C (U+2B54C)	f0ab958c
𫕍	U+2B54D (U+2B54D)	f0ab958d
𫕎	U+2B54E (U+2B54E)	f0ab958e
𫕏	U+2B54F (U+2B54F)	f0ab958f
𫕐	U+2B550 (U+2B550)	f0ab9590
𫕑	U+2B551 (U+2B551)	f0ab9591
𫕒	U+2B552 (U+2B552)	f0ab9592
𫕓	U+2B553 (U+2B553)	f0ab9593
𫕔	U+2B554 (U+2B554)	f0ab9594
𫕕	U+2B555 (U+2B555)	f0ab9595
𫕖	U+2B556 (U+2B556)	f0ab9596
𫕗	U+2B557 (U+2B557)	f0ab9597
𫕘	U+2B558 (U+2B558)	f0ab9598
𫕙	U+2B559 (U+2B559)	f0ab9599
𫕚	U+2B55A (U+2B55A)	f0ab959a
𫕛	U+2B55B (U+2B55B)	f0ab959b
𫕜	U+2B55C (U+2B55C)	f0ab959c
𫕝	U+2B55D (U+2B55D)	f0ab959d
𫕞	U+2B55E (U+2B55E)	f0ab959e
𫕟	U+2B55F (U+2B55F)	f0ab959f
𫕠	U+2B560 (U+2B560)	f0ab95a0
𫕡	U+2B561 (U+2B561)	f0ab95a1
𫕢	U+2B562 (U+2B562)	f0ab95a2
𫕣	U+2B563 (U+2B563)	f0ab95a3
𫕤	U+2B564 (U+2B564)	f0ab95a4
𫕥	U+2B565 (U+2B565)	f0ab95a5
𫕦	U+2B566 (U+2B566)	f0ab95a6
𫕧	U+2B567 (U+2B567)	f0ab95a7
𫕨	U+2B568 (U+2B568)	f0ab95a8
𫕩	U+2B569 (U+2B569)	f0ab95a9
𫕪	U+2B56A (U+2B56A)	f0ab95aa
𫕫	U+2B56B (U+2B56B)	f0ab95ab
𫕬	U+2B56C (U+2B56C)	f0ab95ac
𫕭	U+2B56D (U+2B56D)	f0ab95ad
𫕮	U+2B56E (U+2B56E)	f0ab95ae
𫕯	U+2B56F (U+2B56F)	f0ab95af
𫕰	U+2B570 (U+2B570)	f0ab95b0
𫕱	U+2B571 (U+2B571)	f0ab95b1
𫕲	U+2B572 (U+2B572)	f0ab95b2
𫕳	U+2B573 (U+2B573)	f0ab95b3
𫕴	U+2B574 (U+2B574)	f0ab95b4
𫕵	U+2B575 (U+2B575)	f0ab95b5
𫕶	U+2B576 (U+2B576)	f0ab95b6
𫕷	U+2B577 (U+2B577)	f0ab95b7
𫕸	U+2B578 (U+2B578)	f0ab95b8
𫕹	U+2B579 (U+2B579)	f0ab95b9
𫕺	U+2B57A (U+2B57A)	f0ab95ba
𫕻	U+2B57B (U+2B57B)	f0ab95bb
𫕼	U+2B57C (U+2B57C)	f0ab95bc
𫕽	U+2B57D (U+2B57D)	f0ab95bd
𫕾	U+2B57E (U+2B57E)	f0ab95be
𫕿	U+2B57F (U+2B57F)	f0ab95bf
𫖀	U+2B580 (U+2B580)	f0ab9680
𫖁	U+2B581 (U+2B581)	f0ab9681
𫖂	U+2B582 (U+2B582)	f0ab9682
