𪣷	U+2A8F7 (U+2A8F7)	f0aaa3b7
𪣸	U+2A8F8 (U+2A8F8)	f0aaa3b8
𪣹	U+2A8F9 (U+2A8F9)	f0aaa3b9
𪣺	U+2A8FA (U+2A8FA)	f0aaa3ba
𪣻	U+2A8FB (U+2A8FB)	f0aaa3bb
𪣼	U+2A8FC (U+2A8FC)	f0aaa3bc
𪣽	U+2A8FD (U+2A8FD)	f0aaa3bd
𪣾	U+2A8FE (U+2A8FE)	f0aaa3be
𪣿	U+2A8FF (U+2A8FF)	f0aaa3bf
𪤀	U+2A900 (U+2A900)	f0aaa480
𪤁	U+2A901 (U+2A901)	f0aaa481
𪤂	U+2A902 (U+2A902)	f0aaa482
𪤃	U+2A903 (U+2A903)	f0aaa483
𪤄	U+2A904 (U+2A904)	f0aaa484
𪤅	U+2A905 (U+2A905)	f0aaa485
𪤆	U+2A906 (U+2A906)	f0aaa486
𪤇	U+2A907 (U+2A907)	f0aaa487
𪤈	U+2A908 (U+2A908)	f0aaa488
𪤉	U+2A909 (U+2A909)	f0aaa489
𪤊	U+2A90A (U+2A90A)	f0aaa48a
𪤋	U+2A90B (U+2A90B)	f0aaa48b
𪤌	U+2A90C (U+2A90C)	f0aaa48c
𪤍	U+2A90D (U+2A90D)	f0aaa48d
𪤎	U+2A90E (U+2A90E)	f0aaa48e
𪤏	U+2A90F (U+2A90F)	f0aaa48f
𪤐	U+2A910 (U+2A910)	f0aaa490
𪤑	U+2A911 (U+2A911)	f0aaa491
𪤒	U+2A912 (U+2A912)	f0aaa492
𪤓	U+2A913 (U+2A913)	f0aaa493
𪤔	U+2A914 (U+2A914)	f0aaa494
𪤕	U+2A915 (U+2A915)	f0aaa495
𪤖	U+2A916 (U+2A916)	f0aaa496
𪤗	U+2A917 (U+2A917)	f0aaa497
𪤘	U+2A918 (U+2A918)	f0aaa498
𪤙	U+2A919 (U+2A919)	f0aaa499
𪤚	U+2A91A (U+2A91A)	f0aaa49a
𪤛	U+2A91B (U+2A91B)	f0aaa49b
𪤜	U+2A91C (U+2A91C)	f0aaa49c
𪤝	U+2A91D (U+2A91D)	f0aaa49d
𪤞	U+2A91E (U+2A91E)	f0aaa49e
𪤟	U+2A91F (U+2A91F)	f0aaa49f
𪤠	U+2A920 (U+2A920)	f0aaa4a0
𪤡	U+2A921 (U+2A921)	f0aaa4a1
𪤢	U+2A922 (U+2A922)	f0aaa4a2
𪤣	U+2A923 (U+2A923)	f0aaa4a3
𪤤	U+2A924 (U+2A924)	f0aaa4a4
𪤥	U+2A925 (U+2A925)	f0aaa4a5
𪤦	U+2A926 (U+2A926)	f0aaa4a6
𪤧	U+2A927 (U+2A927)	f0aaa4a7
𪤨	U+2A928 (U+2A928)	f0aaa4a8
𪤩	U+2A929 (U+2A929)	f0aaa4a9
𪤪	U+2A92A (U+2A92A)	f0aaa4aa
𪤫	U+2A92B (U+2A92B)	f0aaa4ab
𪤬	U+2A92C (U+2A92C)	f0aaa4ac
𪤭	U+2A92D (U+2A92D)	f0aaa4ad
𪤮	U+2A92E (U+2A92E)	f0aaa4ae
𪤯	U+2A92F (U+2A92F)	f0aaa4af
𪤰	U+2A930 (U+2A930)	f0aaa4b0
𪤱	U+2A931 (U+2A931)	f0aaa4b1
𪤲	U+2A932 (U+2A932)	f0aaa4b2
𪤳	U+2A933 (U+2A933)	f0aaa4b3
𪤴	U+2A934 (U+2A934)	f0aaa4b4
𪤵	U+2A935 (U+2A935)	f0aaa4b5
𪤶	U+2A936 (U+2A936)	f0aaa4b6
𪤷	U+2A937 (U+2A937)	f0aaa4b7
𪤸	U+2A938 (U+2A938)	f0aaa4b8
𪤹	U+2A939 (U+2A939)	f0aaa4b9
𪤺	U+2A93A (U+2A93A)	f0aaa4ba
𪤻	U+2A93B (U+2A93B)	f0aaa4bb
𪤼	U+2A93C (U+2A93C)	f0aaa4bc
𪤽	U+2A93D (U+2A93D)	f0aaa4bd
𪤾	U+2A93E (U+2A93E)	f0aaa4be
𪤿	U+2A93F (U+2A93F)	f0aaa4bf
𪥀	U+2A940 (U+2A940)	f0aaa580
𪥁	U+2A941 (U+2A941)	f0aaa581
𪥂	U+2A942 (U+2A942)	f0aaa582
𪥃	U+2A943 (U+2A943)	f0aaa583
𪥄	U+2A944 (U+2A944)	f0aaa584
𪥅	U+2A945 (U+2A945)	f0aaa585
𪥆	U+2A946 (U+2A946)	f0aaa586
𪥇	U+2A947 (U+2A947)	f0aaa587
𪥈	U+2A948 (U+2A948)	f0aaa588
𪥉	U+2A949 (U+2A949)	f0aaa589
𪥊	U+2A94A (U+2A94A)	f0aaa58a
𪥋	U+2A94B (U+2A94B)	f0aaa58b
𪥌	U+2A94C (U+2A94C)	f0aaa58c
𪥍	U+2A94D (U+2A94D)	f0aaa58d
𪥎	U+2A94E (U+2A94E)	f0aaa58e
𪥏	U+2A94F (U+2A94F)	f0aaa58f
𪥐	U+2A950 (U+2A950)	f0aaa590
𪥑	U+2A951 (U+2A951)	f0aaa591
𪥒	U+2A952 (U+2A952)	f0aaa592
𪥓	U+2A953 (U+2A953)	f0aaa593
𪥔	U+2A954 (U+2A954)	f0aaa594
𪥕	U+2A955 (U+2A955)	f0aaa595
𪥖	U+2A956 (U+2A956)	f0aaa596
𪥗	U+2A957 (U+2A957)	f0aaa597
𪥘	U+2A958 (U+2A958)	f0aaa598
𪥙	U+2A959 (U+2A959)	f0aaa599
𪥚	U+2A95A (U+2A95A)	f0aaa59a
𪥛	U+2A95B (U+2A95B)	f0aaa59b
𪥜	U+2A95C (U+2A95C)	f0aaa59c
𪥝	U+2A95D (U+2A95D)	f0aaa59d
𪥞	U+2A95E (U+2A95E)	f0aaa59e
𪥟	U+2A95F (U+2A95F)	f0aaa59f
𪥠	U+2A960 (U+2A960)	f0aaa5a0
𪥡	U+2A961 (U+2A961)	f0aaa5a1
𪥢	U+2A962 (U+2A962)	f0aaa5a2
𪥣	U+2A963 (U+2A963)	f0aaa5a3
𪥤	U+2A964 (U+2A964)	f0aaa5a4
𪥥	U+2A965 (U+2A965)	f0aaa5a5
𪥦	U+2A966 (U+2A966)	f0aaa5a6
𪥧	U+2A967 (U+2A967)	f0aaa5a7
𪥨	U+2A968 (U+2A968)	f0aaa5a8
𪥩	U+2A969 (U+2A969)	f0aaa5a9
𪥪	U+2A96A (U+2A96A)	f0aaa5aa
𪥫	U+2A96B (U+2A96B)	f0aaa5ab
𪥬	U+2A96C (U+2A96C)	f0aaa5ac
𪥭	U+2A96D (U+2A96D)	f0aaa5ad
𪥮	U+2A96E (U+2A96E)	f0aaa5ae
𪥯	U+2A96F (U+2A96F)	f0aaa5af
𪥰	U+2A970 (U+2A970)	f0aaa5b0
𪥱	U+2A971 (U+2A971)	f0aaa5b1
𪥲	U+2A972 (U+2A972)	f0aaa5b2
𪥳	U+2A973 (U+2A973)	f0aaa5b3
𪥴	U+2A974 (U+2A974)	f0aaa5b4
𪥵	U+2A975 (U+2A975)	f0aaa5b5
𪥶	U+2A976 (U+2A976)	f0aaa5b6
𪥷	U+2A977 (U+2A977)	f0aaa5b7
𪥸	U+2A978 (U+2A978)	f0aaa5b8
𪥹	U+2A979 (U+2A979)	f0aaa5b9
𪥺	U+2A97A (U+2A97A)	f0aaa5ba
𪥻	U+2A97B (U+2A97B)	f0aaa5bb
