簣	a bamboo basket for carrying earth (U+7C23)	e7b0a3
簤	U+7C24 (U+7C24)	e7b0a4
簥	a large pipe; a farm tool (U+7C25)	e7b0a5
簦	large umbrella with a long handle, used for street stalls (U+7C26)	e7b0a6
簧	reed of woodwind instrument (U+7C27)	e7b0a7
簨	a beam for hanging bells or drums (U+7C28)	e7b0a8
簩	U+7C29 (U+7C29)	e7b0a9
簪	hairpin, clasp; wear in hair (U+7C2A)	e7b0aa
簫	musical instrument like pan-pipes, bamboo flute (U+7C2B)	e7b0ab
簬	U+7C2C (U+7C2C)	e7b0ac
簭	U+7C2D (U+7C2D)	e7b0ad
簮	U+7C2E (U+7C2E)	e7b0ae
簯	U+7C2F (U+7C2F)	e7b0af
簰	bamboo raft (U+7C30)	e7b0b0
簱	U+7C31 (U+7C31)	e7b0b1
簲	U+7C32 (U+7C32)	e7b0b2
簳	U+7C33 (U+7C33)	e7b0b3
簴	U+7C34 (U+7C34)	e7b0b4
簵	fine bamboo (U+7C35)	e7b0b5
簶	U+7C36 (U+7C36)	e7b0b6
簷	eaves of house; brim (U+7C37)	e7b0b7
簸	winnower (U+7C38)	e7b0b8
簹	tall bamboo (U+7C39)	e7b0b9
簺	U+7C3A (U+7C3A)	e7b0ba
簻	empty (U+7C3B)	e7b0bb
簼	U+7C3C (U+7C3C)	e7b0bc
簽	sign, endorse; slip of paper (U+7C3D)	e7b0bd
簾	a blind, screen, curtain (U+7C3E)	e7b0be
簿	register, account book, notebook (U+7C3F)	e7b0bf
籀	recite, read; style of calligraphy (U+7C40)	e7b180
籁	bamboo flute; pipe; various sound (U+7C41)	e7b181
籂	U+7C42 (U+7C42)	e7b182
籃	basket (U+7C43)	e7b183
籄	a basket for carrying earth (U+7C44)	e7b184
籅	U+7C45 (U+7C45)	e7b185
籆	U+7C46 (U+7C46)	e7b186
籇	U+7C47 (U+7C47)	e7b187
籈	U+7C48 (U+7C48)	e7b188
籉	U+7C49 (U+7C49)	e7b189
籊	long (U+7C4A)	e7b18a
籋	U+7C4B (U+7C4B)	e7b18b
籌	chip, tally, token; raise money (U+7C4C)	e7b18c
籍	record, register, list; census (U+7C4D)	e7b18d
籎	U+7C4E (U+7C4E)	e7b18e
籏	flag (U+7C4F)	e7b18f
籐	climbing plants, vines, cane (U+7C50)	e7b190
籑	to feed, to provide for delicacies, dainties (U+7C51)	e7b191
籒	U+7C52 (U+7C52)	e7b192
籓	sieve; basket (U+7C53)	e7b193
籔	bamboo basket (U+7C54)	e7b194
籕	U+7C55 (U+7C55)	e7b195
籖	tally; lot; marker (U+7C56)	e7b196
籗	U+7C57 (U+7C57)	e7b197
籘	climbing plants, vines, cane (U+7C58)	e7b198
籙	book (U+7C59)	e7b199
籚	bamboo; the handle of the spear (U+7C5A)	e7b19a
籛	surname (U+7C5B)	e7b19b
籜	bamboo sheath, bamboo shoots (U+7C5C)	e7b19c
籝	a tube to hold chopsticks (U+7C5D)	e7b19d
籞	a fence (U+7C5E)	e7b19e
籟	bamboo flute; pipe; various sound (U+7C5F)	e7b19f
籠	cage; cage-like basket (U+7C60)	e7b1a0
籡	U+7C61 (U+7C61)	e7b1a1
籢	U+7C62 (U+7C62)	e7b1a2
籣	bow case (U+7C63)	e7b1a3
籤	tally; lot; marker (U+7C64)	e7b1a4
籥	key; woodwind instrument (U+7C65)	e7b1a5
籦	U+7C66 (U+7C66)	e7b1a6
籧	crude bamboo mat (U+7C67)	e7b1a7
籨	trousseau (U+7C68)	e7b1a8
籩	bamboo container for food (U+7C69)	e7b1a9
籪	a weir of bamboo to catch fish or crabs (U+7C6A)	e7b1aa
籫	U+7C6B (U+7C6B)	e7b1ab
籬	bamboo or wooden fence; hedge (U+7C6C)	e7b1ac
籭	U+7C6D (U+7C6D)	e7b1ad
籮	bamboo basket (U+7C6E)	e7b1ae
籯	bamboo chest; tubular bamboo case (U+7C6F)	e7b1af
籰	U+7C70 (U+7C70)	e7b1b0
籱	U+7C71 (U+7C71)	e7b1b1
籲	appeal; request; implore (U+7C72)	e7b1b2
米	hulled or husked uncooked rice (U+7C73)	e7b1b3
籴	purchase grains; store grain (U+7C74)	e7b1b4
籵	decimetre (U+7C75)	e7b1b5
籶	U+7C76 (U+7C76)	e7b1b6
籷	U+7C77 (U+7C77)	e7b1b7
籸	powdery substance (U+7C78)	e7b1b8
籹	cake (U+7C79)	e7b1b9
籺	U+7C7A (U+7C7A)	e7b1ba
类	class, group, kind, category (U+7C7B)	e7b1bb
籼	non-glutinous long grain rice (U+7C7C)	e7b1bc
籽	seed, pip, pit, stone (U+7C7D)	e7b1bd
籾	unhulled rice (U+7C7E)	e7b1be
籿	U+7C7F (U+7C7F)	e7b1bf
粀	U+7C80 (U+7C80)	e7b280
粁	kilometre (U+7C81)	e7b281
粂	surname (U+7C82)	e7b282
粃	empty husks of grain (U+7C83)	e7b283
粄	U+7C84 (U+7C84)	e7b284
粅	U+7C85 (U+7C85)	e7b285
粆	coarse (U+7C86)	e7b286
粇	U+7C87 (U+7C87)	e7b287
粈	U+7C88 (U+7C88)	e7b288
粉	powder, face powder; plaster (U+7C89)	e7b289
粊	U+7C8A (U+7C8A)	e7b28a
粋	pure; unadulterated; select (U+7C8B)	e7b28b
粌	U+7C8C (U+7C8C)	e7b28c
粍	millimetre (U+7C8D)	e7b28d
粎	metre (U+7C8E)	e7b28e
粏	U+7C8F (U+7C8F)	e7b28f
粐	U+7C90 (U+7C90)	e7b290
粑	tsamba (food in Tibet) (U+7C91)	e7b291
粒	grain; small particle (U+7C92)	e7b292
粓	U+7C93 (U+7C93)	e7b293
粔	cakes made from rice flour twisted into rings (U+7C94)	e7b294
粕	lees, dregs, sediments left after distilling liquor (U+7C95)	e7b295
粖	U+7C96 (U+7C96)	e7b296
粗	rough, thick, course; rude (U+7C97)	e7b297
粘	viscous, mucous; glutinous (U+7C98)	e7b298
粙	U+7C99 (U+7C99)	e7b299
粚	U+7C9A (U+7C9A)	e7b29a
粛	pay respects; reverently (U+7C9B)	e7b29b
粜	sell grains (U+7C9C)	e7b29c
粝	unpolished rice; brown rice (U+7C9D)	e7b29d
粞	to mash rice (U+7C9E)	e7b29e
粟	unhusked millet; grain (U+7C9F)	e7b29f
粠	U+7CA0 (U+7CA0)	e7b2a0
粡	U+7CA1 (U+7CA1)	e7b2a1
粢	grain offered in ritual sacrifice; millet (U+7CA2)	e7b2a2
粣	U+7CA3 (U+7CA3)	e7b2a3
粤	Guangdong and Guangxi provinces; initial particle (U+7CA4)	e7b2a4
粥	rice gruel, congee (U+7CA5)	e7b2a5
粦	phosphorus (U+7CA6)	e7b2a6
粧	toilet; make-up; dress up; adorn (U+7CA7)	e7b2a7
粨	hectometre (U+7CA8)	e7b2a8
粩	U+7CA9 (U+7CA9)	e7b2a9
粪	manure, dung, shit, excrement, night soil (U+7CAA)	e7b2aa
粫	U+7CAB (U+7CAB)	e7b2ab
粬	U+7CAC (U+7CAC)	e7b2ac
粭	U+7CAD (U+7CAD)	e7b2ad
粮	food, grain, provisions (U+7CAE)	e7b2ae
粯	U+7CAF (U+7CAF)	e7b2af
粰	U+7CB0 (U+7CB0)	e7b2b0
粱	better varieties of millet (U+7CB1)	e7b2b1
粲	polish; bright, radiant; smiling (U+7CB2)	e7b2b2
粳	non-glutinous rice (U+7CB3)	e7b2b3
粴	U+7CB4 (U+7CB4)	e7b2b4
粵	Guangdong and Guangxi provinces; initial particle (U+7CB5)	e7b2b5
粶	U+7CB6 (U+7CB6)	e7b2b6
粷	U+7CB7 (U+7CB7)	e7b2b7
粸	U+7CB8 (U+7CB8)	e7b2b8
粹	pure; unadulterated; select (U+7CB9)	e7b2b9
粺	polished rice or millet (U+7CBA)	e7b2ba
粻	provisions (U+7CBB)	e7b2bb
粼	U+7CBC (U+7CBC)	e7b2bc
粽	dumpling made of glutinous rice (U+7CBD)	e7b2bd
精	essence; semen; spirit (U+7CBE)	e7b2be
粿	rice cake (U+7CBF)	e7b2bf
糀	U+7CC0 (U+7CC0)	e7b380
糁	a grain of rice; rice gruel mixed with meat (U+7CC1)	e7b381
糂	U+7CC2 (U+7CC2)	e7b382
糃	U+7CC3 (U+7CC3)	e7b383
糄	U+7CC4 (U+7CC4)	e7b384
糅	blend, mix; mixed (U+7CC5)	e7b385
糆	U+7CC6 (U+7CC6)	e7b386
糇	dried rice, dry provisions (U+7CC7)	e7b387
糈	sacrificial rice; rations; pay (U+7CC8)	e7b388
糉	dumpling made of glutinous rice (U+7CC9)	e7b389
糊	paste, stick on with paste (U+7CCA)	e7b38a
糋	U+7CCB (U+7CCB)	e7b38b
糌	U+7CCC (U+7CCC)	e7b38c
糍	food made of crushed and cooked rice (U+7CCD)	e7b38d
糎	(J) centimetre (U+7CCE)	e7b38e
糏	rice grits left after hulling (U+7CCF)	e7b38f
糐	U+7CD0 (U+7CD0)	e7b390
糑	U+7CD1 (U+7CD1)	e7b391
糒	food for a journey; cakes (U+7CD2)	e7b392
糓	grain, corn (U+7CD3)	e7b393
糔	juice (U+7CD4)	e7b394
糕	cakes, pastry (U+7CD5)	e7b395
糖	sugar; candy; sweets (U+7CD6)	e7b396
糗	parched wheat or rice; broken grain (U+7CD7)	e7b397
糘	U+7CD8 (U+7CD8)	e7b398
糙	coarse, harsh, rough, unpolished rice (U+7CD9)	e7b399
糚	U+7CDA (U+7CDA)	e7b39a
糛	U+7CDB (U+7CDB)	e7b39b
糜	rice gruel, congee; mashed (U+7CDC)	e7b39c
糝	scattered (grains of rice); mixed (U+7CDD)	e7b39d
糞	manure, dung, night soil (U+7CDE)	e7b39e
糟	sediment, dregs; pickle (U+7CDF)	e7b39f
糠	chaff, bran, husks; poor (U+7CE0)	e7b3a0
糡	starch; paste. to starch (U+7CE1)	e7b3a1
糢	rice snacks (U+7CE2)	e7b3a2
糣	U+7CE3 (U+7CE3)	e7b3a3
糤	fried round cakes of wheat flour (U+7CE4)	e7b3a4
糥	U+7CE5 (U+7CE5)	e7b3a5
糦	U+7CE6 (U+7CE6)	e7b3a6
