𥴊	U+25D0A (U+25D0A)	f0a5b48a
𥴋	U+25D0B (U+25D0B)	f0a5b48b
𥴌	U+25D0C (U+25D0C)	f0a5b48c
𥴍	U+25D0D (U+25D0D)	f0a5b48d
𥴎	U+25D0E (U+25D0E)	f0a5b48e
𥴏	U+25D0F (U+25D0F)	f0a5b48f
𥴐	U+25D10 (U+25D10)	f0a5b490
𥴑	U+25D11 (U+25D11)	f0a5b491
𥴒	U+25D12 (U+25D12)	f0a5b492
𥴓	U+25D13 (U+25D13)	f0a5b493
𥴔	U+25D14 (U+25D14)	f0a5b494
𥴕	U+25D15 (U+25D15)	f0a5b495
𥴖	U+25D16 (U+25D16)	f0a5b496
𥴗	U+25D17 (U+25D17)	f0a5b497
𥴘	U+25D18 (U+25D18)	f0a5b498
𥴙	U+25D19 (U+25D19)	f0a5b499
𥴚	U+25D1A (U+25D1A)	f0a5b49a
𥴛	U+25D1B (U+25D1B)	f0a5b49b
𥴜	U+25D1C (U+25D1C)	f0a5b49c
𥴝	U+25D1D (U+25D1D)	f0a5b49d
𥴞	U+25D1E (U+25D1E)	f0a5b49e
𥴟	U+25D1F (U+25D1F)	f0a5b49f
𥴠	U+25D20 (U+25D20)	f0a5b4a0
𥴡	U+25D21 (U+25D21)	f0a5b4a1
𥴢	U+25D22 (U+25D22)	f0a5b4a2
𥴣	U+25D23 (U+25D23)	f0a5b4a3
𥴤	U+25D24 (U+25D24)	f0a5b4a4
𥴥	U+25D25 (U+25D25)	f0a5b4a5
𥴦	U+25D26 (U+25D26)	f0a5b4a6
𥴧	U+25D27 (U+25D27)	f0a5b4a7
𥴨	U+25D28 (U+25D28)	f0a5b4a8
𥴩	U+25D29 (U+25D29)	f0a5b4a9
𥴪	U+25D2A (U+25D2A)	f0a5b4aa
𥴫	U+25D2B (U+25D2B)	f0a5b4ab
𥴬	U+25D2C (U+25D2C)	f0a5b4ac
𥴭	U+25D2D (U+25D2D)	f0a5b4ad
𥴮	U+25D2E (U+25D2E)	f0a5b4ae
𥴯	U+25D2F (U+25D2F)	f0a5b4af
𥴰	U+25D30 (U+25D30)	f0a5b4b0
𥴱	U+25D31 (U+25D31)	f0a5b4b1
𥴲	U+25D32 (U+25D32)	f0a5b4b2
𥴳	U+25D33 (U+25D33)	f0a5b4b3
𥴴	U+25D34 (U+25D34)	f0a5b4b4
𥴵	U+25D35 (U+25D35)	f0a5b4b5
𥴶	U+25D36 (U+25D36)	f0a5b4b6
𥴷	U+25D37 (U+25D37)	f0a5b4b7
𥴸	U+25D38 (U+25D38)	f0a5b4b8
𥴹	U+25D39 (U+25D39)	f0a5b4b9
𥴺	U+25D3A (U+25D3A)	f0a5b4ba
𥴻	U+25D3B (U+25D3B)	f0a5b4bb
𥴼	U+25D3C (U+25D3C)	f0a5b4bc
𥴽	U+25D3D (U+25D3D)	f0a5b4bd
𥴾	U+25D3E (U+25D3E)	f0a5b4be
𥴿	U+25D3F (U+25D3F)	f0a5b4bf
𥵀	U+25D40 (U+25D40)	f0a5b580
𥵁	U+25D41 (U+25D41)	f0a5b581
𥵂	U+25D42 (U+25D42)	f0a5b582
𥵃	U+25D43 (U+25D43)	f0a5b583
𥵄	U+25D44 (U+25D44)	f0a5b584
𥵅	U+25D45 (U+25D45)	f0a5b585
𥵆	U+25D46 (U+25D46)	f0a5b586
𥵇	U+25D47 (U+25D47)	f0a5b587
𥵈	U+25D48 (U+25D48)	f0a5b588
𥵉	U+25D49 (U+25D49)	f0a5b589
𥵊	U+25D4A (U+25D4A)	f0a5b58a
𥵋	U+25D4B (U+25D4B)	f0a5b58b
𥵌	U+25D4C (U+25D4C)	f0a5b58c
𥵍	U+25D4D (U+25D4D)	f0a5b58d
𥵎	U+25D4E (U+25D4E)	f0a5b58e
𥵏	U+25D4F (U+25D4F)	f0a5b58f
𥵐	U+25D50 (U+25D50)	f0a5b590
𥵑	U+25D51 (U+25D51)	f0a5b591
𥵒	U+25D52 (U+25D52)	f0a5b592
𥵓	U+25D53 (U+25D53)	f0a5b593
𥵔	U+25D54 (U+25D54)	f0a5b594
𥵕	U+25D55 (U+25D55)	f0a5b595
𥵖	U+25D56 (U+25D56)	f0a5b596
𥵗	U+25D57 (U+25D57)	f0a5b597
𥵘	U+25D58 (U+25D58)	f0a5b598
𥵙	U+25D59 (U+25D59)	f0a5b599
𥵚	thorns, brambles (U+25D5A)	f0a5b59a
𥵛	U+25D5B (U+25D5B)	f0a5b59b
𥵜	U+25D5C (U+25D5C)	f0a5b59c
𥵝	U+25D5D (U+25D5D)	f0a5b59d
