𣄣	U+23123 (U+23123)	f0a384a3
𣄤	U+23124 (U+23124)	f0a384a4
𣄥	U+23125 (U+23125)	f0a384a5
𣄦	U+23126 (U+23126)	f0a384a6
𣄧	U+23127 (U+23127)	f0a384a7
𣄨	U+23128 (U+23128)	f0a384a8
𣄩	U+23129 (U+23129)	f0a384a9
𣄪	U+2312A (U+2312A)	f0a384aa
𣄫	U+2312B (U+2312B)	f0a384ab
𣄬	U+2312C (U+2312C)	f0a384ac
𣄭	U+2312D (U+2312D)	f0a384ad
𣄮	U+2312E (U+2312E)	f0a384ae
𣄯	U+2312F (U+2312F)	f0a384af
𣄰	U+23130 (U+23130)	f0a384b0
𣄱	U+23131 (U+23131)	f0a384b1
𣄲	U+23132 (U+23132)	f0a384b2
𣄳	U+23133 (U+23133)	f0a384b3
𣄴	U+23134 (U+23134)	f0a384b4
𣄵	U+23135 (U+23135)	f0a384b5
𣄶	U+23136 (U+23136)	f0a384b6
𣄷	U+23137 (U+23137)	f0a384b7
𣄸	U+23138 (U+23138)	f0a384b8
𣄹	U+23139 (U+23139)	f0a384b9
𣄺	U+2313A (U+2313A)	f0a384ba
𣄻	U+2313B (U+2313B)	f0a384bb
𣄼	U+2313C (U+2313C)	f0a384bc
𣄽	U+2313D (U+2313D)	f0a384bd
𣄾	U+2313E (U+2313E)	f0a384be
𣄿	U+2313F (U+2313F)	f0a384bf
𣅀	U+23140 (U+23140)	f0a38580
𣅁	U+23141 (U+23141)	f0a38581
𣅂	U+23142 (U+23142)	f0a38582
𣅃	U+23143 (U+23143)	f0a38583
𣅄	U+23144 (U+23144)	f0a38584
𣅅	U+23145 (U+23145)	f0a38585
𣅆	U+23146 (U+23146)	f0a38586
𣅇	U+23147 (U+23147)	f0a38587
𣅈	U+23148 (U+23148)	f0a38588
𣅉	U+23149 (U+23149)	f0a38589
𣅊	U+2314A (U+2314A)	f0a3858a
𣅋	U+2314B (U+2314B)	f0a3858b
𣅌	U+2314C (U+2314C)	f0a3858c
𣅍	U+2314D (U+2314D)	f0a3858d
𣅎	U+2314E (U+2314E)	f0a3858e
𣅏	U+2314F (U+2314F)	f0a3858f
𣅐	U+23150 (U+23150)	f0a38590
𣅑	U+23151 (U+23151)	f0a38591
𣅒	U+23152 (U+23152)	f0a38592
𣅓	U+23153 (U+23153)	f0a38593
𣅔	U+23154 (U+23154)	f0a38594
𣅕	U+23155 (U+23155)	f0a38595
𣅖	U+23156 (U+23156)	f0a38596
𣅗	U+23157 (U+23157)	f0a38597
𣅘	U+23158 (U+23158)	f0a38598
𣅙	U+23159 (U+23159)	f0a38599
𣅚	U+2315A (U+2315A)	f0a3859a
𣅛	U+2315B (U+2315B)	f0a3859b
𣅜	U+2315C (U+2315C)	f0a3859c
𣅝	U+2315D (U+2315D)	f0a3859d
𣅞	U+2315E (U+2315E)	f0a3859e
𣅟	U+2315F (U+2315F)	f0a3859f
𣅠	U+23160 (U+23160)	f0a385a0
𣅡	U+23161 (U+23161)	f0a385a1
𣅢	U+23162 (U+23162)	f0a385a2
𣅣	U+23163 (U+23163)	f0a385a3
𣅤	U+23164 (U+23164)	f0a385a4
𣅥	U+23165 (U+23165)	f0a385a5
𣅦	U+23166 (U+23166)	f0a385a6
𣅧	U+23167 (U+23167)	f0a385a7
𣅨	U+23168 (U+23168)	f0a385a8
𣅩	U+23169 (U+23169)	f0a385a9
𣅪	U+2316A (U+2316A)	f0a385aa
𣅫	U+2316B (U+2316B)	f0a385ab
𣅬	U+2316C (U+2316C)	f0a385ac
𣅭	U+2316D (U+2316D)	f0a385ad
𣅮	U+2316E (U+2316E)	f0a385ae
𣅯	U+2316F (U+2316F)	f0a385af
𣅰	U+23170 (U+23170)	f0a385b0
𣅱	U+23171 (U+23171)	f0a385b1
𣅲	U+23172 (U+23172)	f0a385b2
𣅳	U+23173 (U+23173)	f0a385b3
𣅴	U+23174 (U+23174)	f0a385b4
𣅵	U+23175 (U+23175)	f0a385b5
𣅶	U+23176 (U+23176)	f0a385b6
𣅷	U+23177 (U+23177)	f0a385b7
𣅸	U+23178 (U+23178)	f0a385b8
𣅹	U+23179 (U+23179)	f0a385b9
𣅺	U+2317A (U+2317A)	f0a385ba
𣅻	U+2317B (U+2317B)	f0a385bb
𣅼	U+2317C (U+2317C)	f0a385bc
𣅽	U+2317D (U+2317D)	f0a385bd
𣅾	U+2317E (U+2317E)	f0a385be
𣅿	U+2317F (U+2317F)	f0a385bf
𣆀	U+23180 (U+23180)	f0a38680
𣆁	U+23181 (U+23181)	f0a38681
𣆂	U+23182 (U+23182)	f0a38682
𣆃	U+23183 (U+23183)	f0a38683
𣆄	U+23184 (U+23184)	f0a38684
𣆅	U+23185 (U+23185)	f0a38685
𣆆	U+23186 (U+23186)	f0a38686
𣆇	U+23187 (U+23187)	f0a38687
𣆈	U+23188 (U+23188)	f0a38688
𣆉	U+23189 (U+23189)	f0a38689
𣆊	U+2318A (U+2318A)	f0a3868a
𣆋	U+2318B (U+2318B)	f0a3868b
𣆌	U+2318C (U+2318C)	f0a3868c
𣆍	U+2318D (U+2318D)	f0a3868d
𣆎	U+2318E (U+2318E)	f0a3868e
𣆏	U+2318F (U+2318F)	f0a3868f
𣆐	U+23190 (U+23190)	f0a38690
