𣤌	U+2390C (U+2390C)	f0a3a48c
𣤍	U+2390D (U+2390D)	f0a3a48d
𣤎	U+2390E (U+2390E)	f0a3a48e
𣤏	U+2390F (U+2390F)	f0a3a48f
𣤐	U+23910 (U+23910)	f0a3a490
𣤑	U+23911 (U+23911)	f0a3a491
𣤒	U+23912 (U+23912)	f0a3a492
𣤓	U+23913 (U+23913)	f0a3a493
𣤔	U+23914 (U+23914)	f0a3a494
𣤕	U+23915 (U+23915)	f0a3a495
𣤖	U+23916 (U+23916)	f0a3a496
𣤗	U+23917 (U+23917)	f0a3a497
𣤘	U+23918 (U+23918)	f0a3a498
𣤙	U+23919 (U+23919)	f0a3a499
𣤚	U+2391A (U+2391A)	f0a3a49a
𣤛	U+2391B (U+2391B)	f0a3a49b
𣤜	U+2391C (U+2391C)	f0a3a49c
𣤝	U+2391D (U+2391D)	f0a3a49d
𣤞	U+2391E (U+2391E)	f0a3a49e
𣤟	U+2391F (U+2391F)	f0a3a49f
𣤠	U+23920 (U+23920)	f0a3a4a0
𣤡	U+23921 (U+23921)	f0a3a4a1
𣤢	U+23922 (U+23922)	f0a3a4a2
𣤣	U+23923 (U+23923)	f0a3a4a3
𣤤	U+23924 (U+23924)	f0a3a4a4
𣤥	U+23925 (U+23925)	f0a3a4a5
𣤦	U+23926 (U+23926)	f0a3a4a6
𣤧	U+23927 (U+23927)	f0a3a4a7
𣤨	U+23928 (U+23928)	f0a3a4a8
𣤩	U+23929 (U+23929)	f0a3a4a9
𣤪	U+2392A (U+2392A)	f0a3a4aa
𣤫	U+2392B (U+2392B)	f0a3a4ab
𣤬	U+2392C (U+2392C)	f0a3a4ac
𣤭	U+2392D (U+2392D)	f0a3a4ad
𣤮	U+2392E (U+2392E)	f0a3a4ae
𣤯	U+2392F (U+2392F)	f0a3a4af
𣤰	U+23930 (U+23930)	f0a3a4b0
𣤱	U+23931 (U+23931)	f0a3a4b1
𣤲	U+23932 (U+23932)	f0a3a4b2
𣤳	U+23933 (U+23933)	f0a3a4b3
𣤴	U+23934 (U+23934)	f0a3a4b4
𣤵	U+23935 (U+23935)	f0a3a4b5
𣤶	U+23936 (U+23936)	f0a3a4b6
𣤷	U+23937 (U+23937)	f0a3a4b7
𣤸	U+23938 (U+23938)	f0a3a4b8
𣤹	U+23939 (U+23939)	f0a3a4b9
𣤺	U+2393A (U+2393A)	f0a3a4ba
𣤻	U+2393B (U+2393B)	f0a3a4bb
𣤼	U+2393C (U+2393C)	f0a3a4bc
𣤽	U+2393D (U+2393D)	f0a3a4bd
𣤾	U+2393E (U+2393E)	f0a3a4be
𣤿	U+2393F (U+2393F)	f0a3a4bf
𣥀	U+23940 (U+23940)	f0a3a580
𣥁	U+23941 (U+23941)	f0a3a581
𣥂	U+23942 (U+23942)	f0a3a582
𣥃	U+23943 (U+23943)	f0a3a583
𣥄	U+23944 (U+23944)	f0a3a584
𣥅	U+23945 (U+23945)	f0a3a585
𣥆	U+23946 (U+23946)	f0a3a586
𣥇	U+23947 (U+23947)	f0a3a587
𣥈	U+23948 (U+23948)	f0a3a588
𣥉	U+23949 (U+23949)	f0a3a589
𣥊	U+2394A (U+2394A)	f0a3a58a
𣥋	U+2394B (U+2394B)	f0a3a58b
𣥌	U+2394C (U+2394C)	f0a3a58c
𣥍	U+2394D (U+2394D)	f0a3a58d
𣥎	U+2394E (U+2394E)	f0a3a58e
𣥏	U+2394F (U+2394F)	f0a3a58f
𣥐	U+23950 (U+23950)	f0a3a590
𣥑	U+23951 (U+23951)	f0a3a591
𣥒	U+23952 (U+23952)	f0a3a592
𣥓	U+23953 (U+23953)	f0a3a593
𣥔	U+23954 (U+23954)	f0a3a594
𣥕	U+23955 (U+23955)	f0a3a595
𣥖	U+23956 (U+23956)	f0a3a596
𣥗	U+23957 (U+23957)	f0a3a597
𣥘	U+23958 (U+23958)	f0a3a598
𣥙	U+23959 (U+23959)	f0a3a599
𣥚	U+2395A (U+2395A)	f0a3a59a
𣥛	U+2395B (U+2395B)	f0a3a59b
𣥜	U+2395C (U+2395C)	f0a3a59c
𣥝	U+2395D (U+2395D)	f0a3a59d
𣥞	U+2395E (U+2395E)	f0a3a59e
𣥟	U+2395F (U+2395F)	f0a3a59f
𣥠	U+23960 (U+23960)	f0a3a5a0
𣥡	U+23961 (U+23961)	f0a3a5a1
𣥢	U+23962 (U+23962)	f0a3a5a2
𣥣	U+23963 (U+23963)	f0a3a5a3
𣥤	U+23964 (U+23964)	f0a3a5a4
𣥥	U+23965 (U+23965)	f0a3a5a5
𣥦	U+23966 (U+23966)	f0a3a5a6
𣥧	U+23967 (U+23967)	f0a3a5a7
𣥨	U+23968 (U+23968)	f0a3a5a8
𣥩	U+23969 (U+23969)	f0a3a5a9
𣥪	U+2396A (U+2396A)	f0a3a5aa
𣥫	U+2396B (U+2396B)	f0a3a5ab
𣥬	U+2396C (U+2396C)	f0a3a5ac
𣥭	U+2396D (U+2396D)	f0a3a5ad
𣥮	U+2396E (U+2396E)	f0a3a5ae
𣥯	U+2396F (U+2396F)	f0a3a5af
𣥰	U+23970 (U+23970)	f0a3a5b0
𣥱	U+23971 (U+23971)	f0a3a5b1
𣥲	U+23972 (U+23972)	f0a3a5b2
𣥳	U+23973 (U+23973)	f0a3a5b3
𣥴	U+23974 (U+23974)	f0a3a5b4
𣥵	U+23975 (U+23975)	f0a3a5b5
𣥶	U+23976 (U+23976)	f0a3a5b6
𣥷	U+23977 (U+23977)	f0a3a5b7
𣥸	U+23978 (U+23978)	f0a3a5b8
𣥹	U+23979 (U+23979)	f0a3a5b9
𣥺	U+2397A (U+2397A)	f0a3a5ba
𣥻	U+2397B (U+2397B)	f0a3a5bb
𣥼	U+2397C (U+2397C)	f0a3a5bc
𣥽	U+2397D (U+2397D)	f0a3a5bd
𣥾	U+2397E (U+2397E)	f0a3a5be
𣥿	U+2397F (U+2397F)	f0a3a5bf
𣦀	U+23980 (U+23980)	f0a3a680
𣦁	U+23981 (U+23981)	f0a3a681
𣦂	U+23982 (U+23982)	f0a3a682
𣦃	U+23983 (U+23983)	f0a3a683
𣦄	U+23984 (U+23984)	f0a3a684
𣦅	U+23985 (U+23985)	f0a3a685
𣦆	U+23986 (U+23986)	f0a3a686
𣦇	U+23987 (U+23987)	f0a3a687
𣦈	U+23988 (U+23988)	f0a3a688
