𨳫	U+28CEB (U+28CEB)	f0a8b3ab
𨳬	U+28CEC (U+28CEC)	f0a8b3ac
𨳭	U+28CED (U+28CED)	f0a8b3ad
𨳮	U+28CEE (U+28CEE)	f0a8b3ae
𨳯	U+28CEF (U+28CEF)	f0a8b3af
𨳰	U+28CF0 (U+28CF0)	f0a8b3b0
𨳱	U+28CF1 (U+28CF1)	f0a8b3b1
𨳲	U+28CF2 (U+28CF2)	f0a8b3b2
𨳳	U+28CF3 (U+28CF3)	f0a8b3b3
𨳴	U+28CF4 (U+28CF4)	f0a8b3b4
𨳵	U+28CF5 (U+28CF5)	f0a8b3b5
𨳶	U+28CF6 (U+28CF6)	f0a8b3b6
𨳷	U+28CF7 (U+28CF7)	f0a8b3b7
𨳸	U+28CF8 (U+28CF8)	f0a8b3b8
𨳹	U+28CF9 (U+28CF9)	f0a8b3b9
𨳺	U+28CFA (U+28CFA)	f0a8b3ba
𨳻	U+28CFB (U+28CFB)	f0a8b3bb
𨳼	U+28CFC (U+28CFC)	f0a8b3bc
𨳽	U+28CFD (U+28CFD)	f0a8b3bd
𨳾	U+28CFE (U+28CFE)	f0a8b3be
𨳿	U+28CFF (U+28CFF)	f0a8b3bf
𨴀	U+28D00 (U+28D00)	f0a8b480
𨴁	U+28D01 (U+28D01)	f0a8b481
𨴂	U+28D02 (U+28D02)	f0a8b482
𨴃	U+28D03 (U+28D03)	f0a8b483
𨴄	U+28D04 (U+28D04)	f0a8b484
𨴅	U+28D05 (U+28D05)	f0a8b485
𨴆	U+28D06 (U+28D06)	f0a8b486
𨴇	U+28D07 (U+28D07)	f0a8b487
𨴈	U+28D08 (U+28D08)	f0a8b488
𨴉	U+28D09 (U+28D09)	f0a8b489
𨴊	U+28D0A (U+28D0A)	f0a8b48a
𨴋	U+28D0B (U+28D0B)	f0a8b48b
𨴌	U+28D0C (U+28D0C)	f0a8b48c
𨴍	U+28D0D (U+28D0D)	f0a8b48d
𨴎	U+28D0E (U+28D0E)	f0a8b48e
𨴏	U+28D0F (U+28D0F)	f0a8b48f
𨴐	U+28D10 (U+28D10)	f0a8b490
𨴑	the frame of a door or window fixed in a wall (U+28D11)	f0a8b491
𨴒	U+28D12 (U+28D12)	f0a8b492
𨴓	U+28D13 (U+28D13)	f0a8b493
𨴔	U+28D14 (U+28D14)	f0a8b494
𨴕	U+28D15 (U+28D15)	f0a8b495
𨴖	U+28D16 (U+28D16)	f0a8b496
𨴗	U+28D17 (U+28D17)	f0a8b497
𨴘	U+28D18 (U+28D18)	f0a8b498
𨴙	U+28D19 (U+28D19)	f0a8b499
𨴚	U+28D1A (U+28D1A)	f0a8b49a
𨴛	U+28D1B (U+28D1B)	f0a8b49b
𨴜	U+28D1C (U+28D1C)	f0a8b49c
𨴝	U+28D1D (U+28D1D)	f0a8b49d
𨴞	U+28D1E (U+28D1E)	f0a8b49e
𨴟	U+28D1F (U+28D1F)	f0a8b49f
𨴠	U+28D20 (U+28D20)	f0a8b4a0
𨴡	U+28D21 (U+28D21)	f0a8b4a1
𨴢	U+28D22 (U+28D22)	f0a8b4a2
𨴣	U+28D23 (U+28D23)	f0a8b4a3
𨴤	U+28D24 (U+28D24)	f0a8b4a4
𨴥	U+28D25 (U+28D25)	f0a8b4a5
𨴦	U+28D26 (U+28D26)	f0a8b4a6
𨴧	U+28D27 (U+28D27)	f0a8b4a7
𨴨	U+28D28 (U+28D28)	f0a8b4a8
𨴩	U+28D29 (U+28D29)	f0a8b4a9
𨴪	U+28D2A (U+28D2A)	f0a8b4aa
𨴫	U+28D2B (U+28D2B)	f0a8b4ab
𨴬	U+28D2C (U+28D2C)	f0a8b4ac
𨴭	U+28D2D (U+28D2D)	f0a8b4ad
𨴮	U+28D2E (U+28D2E)	f0a8b4ae
𨴯	U+28D2F (U+28D2F)	f0a8b4af
𨴰	U+28D30 (U+28D30)	f0a8b4b0
𨴱	U+28D31 (U+28D31)	f0a8b4b1
𨴲	U+28D32 (U+28D32)	f0a8b4b2
𨴳	U+28D33 (U+28D33)	f0a8b4b3
𨴴	U+28D34 (U+28D34)	f0a8b4b4
𨴵	U+28D35 (U+28D35)	f0a8b4b5
𨴶	U+28D36 (U+28D36)	f0a8b4b6
𨴷	U+28D37 (U+28D37)	f0a8b4b7
𨴸	U+28D38 (U+28D38)	f0a8b4b8
𨴹	U+28D39 (U+28D39)	f0a8b4b9
𨴺	U+28D3A (U+28D3A)	f0a8b4ba
𨴻	U+28D3B (U+28D3B)	f0a8b4bb
𨴼	U+28D3C (U+28D3C)	f0a8b4bc
𨴽	U+28D3D (U+28D3D)	f0a8b4bd
𨴾	U+28D3E (U+28D3E)	f0a8b4be
𨴿	U+28D3F (U+28D3F)	f0a8b4bf
𨵀	U+28D40 (U+28D40)	f0a8b580
𨵁	U+28D41 (U+28D41)	f0a8b581
𨵂	U+28D42 (U+28D42)	f0a8b582
𨵃	U+28D43 (U+28D43)	f0a8b583
𨵄	U+28D44 (U+28D44)	f0a8b584
𨵅	U+28D45 (U+28D45)	f0a8b585
𨵆	U+28D46 (U+28D46)	f0a8b586
𨵇	U+28D47 (U+28D47)	f0a8b587
𨵈	U+28D48 (U+28D48)	f0a8b588
𨵉	U+28D49 (U+28D49)	f0a8b589
𨵊	U+28D4A (U+28D4A)	f0a8b58a
𨵋	U+28D4B (U+28D4B)	f0a8b58b
𨵌	U+28D4C (U+28D4C)	f0a8b58c
𨵍	U+28D4D (U+28D4D)	f0a8b58d
𨵎	U+28D4E (U+28D4E)	f0a8b58e
𨵏	U+28D4F (U+28D4F)	f0a8b58f
𨵐	U+28D50 (U+28D50)	f0a8b590
𨵑	U+28D51 (U+28D51)	f0a8b591
𨵒	U+28D52 (U+28D52)	f0a8b592
𨵓	U+28D53 (U+28D53)	f0a8b593
𨵔	U+28D54 (U+28D54)	f0a8b594
𨵕	U+28D55 (U+28D55)	f0a8b595
𨵖	U+28D56 (U+28D56)	f0a8b596
𨵗	U+28D57 (U+28D57)	f0a8b597
𨵘	U+28D58 (U+28D58)	f0a8b598
𨵙	U+28D59 (U+28D59)	f0a8b599
𨵚	U+28D5A (U+28D5A)	f0a8b59a
𨵛	U+28D5B (U+28D5B)	f0a8b59b
𨵜	U+28D5C (U+28D5C)	f0a8b59c
𨵝	U+28D5D (U+28D5D)	f0a8b59d
𨵞	U+28D5E (U+28D5E)	f0a8b59e
𨵟	U+28D5F (U+28D5F)	f0a8b59f
𨵠	U+28D60 (U+28D60)	f0a8b5a0
𨵡	U+28D61 (U+28D61)	f0a8b5a1
𨵢	U+28D62 (U+28D62)	f0a8b5a2
