𡕨	U+21568 (U+21568)	f0a195a8
𡕩	U+21569 (U+21569)	f0a195a9
𡕪	U+2156A (U+2156A)	f0a195aa
𡕫	U+2156B (U+2156B)	f0a195ab
𡕬	U+2156C (U+2156C)	f0a195ac
𡕭	U+2156D (U+2156D)	f0a195ad
𡕮	U+2156E (U+2156E)	f0a195ae
𡕯	U+2156F (U+2156F)	f0a195af
𡕰	U+21570 (U+21570)	f0a195b0
𡕱	U+21571 (U+21571)	f0a195b1
𡕲	U+21572 (U+21572)	f0a195b2
𡕳	U+21573 (U+21573)	f0a195b3
𡕴	U+21574 (U+21574)	f0a195b4
𡕵	U+21575 (U+21575)	f0a195b5
𡕶	U+21576 (U+21576)	f0a195b6
𡕷	U+21577 (U+21577)	f0a195b7
𡕸	U+21578 (U+21578)	f0a195b8
𡕹	U+21579 (U+21579)	f0a195b9
𡕺	U+2157A (U+2157A)	f0a195ba
𡕻	U+2157B (U+2157B)	f0a195bb
𡕼	U+2157C (U+2157C)	f0a195bc
𡕽	U+2157D (U+2157D)	f0a195bd
𡕾	U+2157E (U+2157E)	f0a195be
𡕿	U+2157F (U+2157F)	f0a195bf
𡖀	U+21580 (U+21580)	f0a19680
𡖁	U+21581 (U+21581)	f0a19681
𡖂	U+21582 (U+21582)	f0a19682
𡖃	U+21583 (U+21583)	f0a19683
𡖄	U+21584 (U+21584)	f0a19684
𡖅	U+21585 (U+21585)	f0a19685
𡖆	U+21586 (U+21586)	f0a19686
𡖇	U+21587 (U+21587)	f0a19687
𡖈	U+21588 (U+21588)	f0a19688
𡖉	U+21589 (U+21589)	f0a19689
𡖊	U+2158A (U+2158A)	f0a1968a
𡖋	U+2158B (U+2158B)	f0a1968b
𡖌	U+2158C (U+2158C)	f0a1968c
𡖍	U+2158D (U+2158D)	f0a1968d
𡖎	U+2158E (U+2158E)	f0a1968e
𡖏	U+2158F (U+2158F)	f0a1968f
𡖐	U+21590 (U+21590)	f0a19690
𡖑	U+21591 (U+21591)	f0a19691
𡖒	U+21592 (U+21592)	f0a19692
𡖓	U+21593 (U+21593)	f0a19693
𡖔	U+21594 (U+21594)	f0a19694
𡖕	U+21595 (U+21595)	f0a19695
𡖖	U+21596 (U+21596)	f0a19696
𡖗	U+21597 (U+21597)	f0a19697
𡖘	U+21598 (U+21598)	f0a19698
𡖙	U+21599 (U+21599)	f0a19699
𡖚	U+2159A (U+2159A)	f0a1969a
𡖛	U+2159B (U+2159B)	f0a1969b
𡖜	U+2159C (U+2159C)	f0a1969c
𡖝	U+2159D (U+2159D)	f0a1969d
𡖞	U+2159E (U+2159E)	f0a1969e
𡖟	U+2159F (U+2159F)	f0a1969f
𡖠	U+215A0 (U+215A0)	f0a196a0
𡖡	U+215A1 (U+215A1)	f0a196a1
𡖢	U+215A2 (U+215A2)	f0a196a2
𡖣	U+215A3 (U+215A3)	f0a196a3
𡖤	U+215A4 (U+215A4)	f0a196a4
