≹	NEITHER GREATER-THAN NOR LESS-THAN (U+2279)	e289b9
≺	PRECEDES (U+227A)	e289ba
≻	SUCCEEDS (U+227B)	e289bb
≼	PRECEDES OR EQUAL TO (U+227C)	e289bc
≽	SUCCEEDS OR EQUAL TO (U+227D)	e289bd
≾	PRECEDES OR EQUIVALENT TO (U+227E)	e289be
≿	SUCCEEDS OR EQUIVALENT TO (U+227F)	e289bf
⊀	DOES NOT PRECEDE (U+2280)	e28a80
⊁	DOES NOT SUCCEED (U+2281)	e28a81
⊂	SUBSET OF (U+2282)	e28a82
⊃	SUPERSET OF (U+2283)	e28a83
⊄	NOT A SUBSET OF (U+2284)	e28a84
⊅	NOT A SUPERSET OF (U+2285)	e28a85
⊆	SUBSET OF OR EQUAL TO (U+2286)	e28a86
⊇	SUPERSET OF OR EQUAL TO (U+2287)	e28a87
⊈	NEITHER A SUBSET OF NOR EQUAL TO (U+2288)	e28a88
⊉	NEITHER A SUPERSET OF NOR EQUAL TO (U+2289)	e28a89
⊊	SUBSET OF WITH NOT EQUAL TO (U+228A)	e28a8a
⊋	SUPERSET OF WITH NOT EQUAL TO (U+228B)	e28a8b
⊌	MULTISET (U+228C)	e28a8c
⊍	MULTISET MULTIPLICATION (U+228D)	e28a8d
⊎	MULTISET UNION (U+228E)	e28a8e
⊏	SQUARE IMAGE OF (U+228F)	e28a8f
⊐	SQUARE ORIGINAL OF (U+2290)	e28a90
⊑	SQUARE IMAGE OF OR EQUAL TO (U+2291)	e28a91
⊒	SQUARE ORIGINAL OF OR EQUAL TO (U+2292)	e28a92
⊓	SQUARE CAP (U+2293)	e28a93
⊔	SQUARE CUP (U+2294)	e28a94
⊕	CIRCLED PLUS (U+2295)	e28a95
⊖	CIRCLED MINUS (U+2296)	e28a96
⊗	CIRCLED TIMES (U+2297)	e28a97
⊘	CIRCLED DIVISION SLASH (U+2298)	e28a98
⊙	CIRCLED DOT OPERATOR (U+2299)	e28a99
⊚	CIRCLED RING OPERATOR (U+229A)	e28a9a
⊛	CIRCLED ASTERISK OPERATOR (U+229B)	e28a9b
⊜	CIRCLED EQUALS (U+229C)	e28a9c
⊝	CIRCLED DASH (U+229D)	e28a9d
⊞	SQUARED PLUS (U+229E)	e28a9e
⊟	SQUARED MINUS (U+229F)	e28a9f
⊠	SQUARED TIMES (U+22A0)	e28aa0
⊡	SQUARED DOT OPERATOR (U+22A1)	e28aa1
⊢	RIGHT TACK (U+22A2)	e28aa2
⊣	LEFT TACK (U+22A3)	e28aa3
⊤	DOWN TACK (U+22A4)	e28aa4
⊥	UP TACK (U+22A5)	e28aa5
⊦	ASSERTION (U+22A6)	e28aa6
⊧	MODELS (U+22A7)	e28aa7
⊨	TRUE (U+22A8)	e28aa8
⊩	FORCES (U+22A9)	e28aa9
⊪	TRIPLE VERTICAL BAR RIGHT TURNSTILE (U+22AA)	e28aaa
⊫	DOUBLE VERTICAL BAR DOUBLE RIGHT TURNSTILE (U+22AB)	e28aab
⊬	DOES NOT PROVE (U+22AC)	e28aac
⊭	NOT TRUE (U+22AD)	e28aad
⊮	DOES NOT FORCE (U+22AE)	e28aae
⊯	NEGATED DOUBLE VERTICAL BAR DOUBLE RIGHT TURNSTILE (U+22AF)	e28aaf
⊰	PRECEDES UNDER RELATION (U+22B0)	e28ab0
⊱	SUCCEEDS UNDER RELATION (U+22B1)	e28ab1
⊲	NORMAL SUBGROUP OF (U+22B2)	e28ab2
⊳	CONTAINS AS NORMAL SUBGROUP (U+22B3)	e28ab3
⊴	NORMAL SUBGROUP OF OR EQUAL TO (U+22B4)	e28ab4
