𧖍	U+2758D (U+2758D)	f0a7968d
𧖎	U+2758E (U+2758E)	f0a7968e
𧖏	U+2758F (U+2758F)	f0a7968f
𧖐	U+27590 (U+27590)	f0a79690
𧖑	U+27591 (U+27591)	f0a79691
𧖒	U+27592 (U+27592)	f0a79692
𧖓	U+27593 (U+27593)	f0a79693
𧖔	U+27594 (U+27594)	f0a79694
𧖕	U+27595 (U+27595)	f0a79695
𧖖	U+27596 (U+27596)	f0a79696
𧖗	U+27597 (U+27597)	f0a79697
𧖘	U+27598 (U+27598)	f0a79698
𧖙	U+27599 (U+27599)	f0a79699
𧖚	U+2759A (U+2759A)	f0a7969a
𧖛	U+2759B (U+2759B)	f0a7969b
𧖜	U+2759C (U+2759C)	f0a7969c
𧖝	U+2759D (U+2759D)	f0a7969d
𧖞	U+2759E (U+2759E)	f0a7969e
𧖟	U+2759F (U+2759F)	f0a7969f
𧖠	U+275A0 (U+275A0)	f0a796a0
𧖡	U+275A1 (U+275A1)	f0a796a1
𧖢	U+275A2 (U+275A2)	f0a796a2
𧖣	U+275A3 (U+275A3)	f0a796a3
𧖤	U+275A4 (U+275A4)	f0a796a4
