蔖	U+8516 (U+8516)	e89496
蔗	sugar cane (U+8517)	e89497
蔘	ginseng; huge (U+8518)	e89498
蔙	U+8519 (U+8519)	e89499
蔚	luxuriant, thick; ornamental (U+851A)	e8949a
蔛	a small orchid-like plant it bears white flowers a dendrobium (U+851B)	e8949b
蔜	U+851C (U+851C)	e8949c
蔝	U+851D (U+851D)	e8949d
蔞	Artemisia stelleriana (U+851E)	e8949e
蔟	frame on which silkworms spin (U+851F)	e8949f
蔠	U+8520 (U+8520)	e894a0
蔡	surname; species of tortoise (U+8521)	e894a1
蔢	U+8522 (U+8522)	e894a2
蔣	surname; Hydropyrum latifalium (U+8523)	e894a3
蔤	U+8524 (U+8524)	e894a4
