囕	U+56D5 (U+56D5)	e59b95
墷	U+58B7 (U+58B7)	e5a2b7
墸	U+58B8 (U+58B8)	e5a2b8
墹	U+58B9 (U+58B9)	e5a2b9
墺	four walls (U+58BA)	e5a2ba
墻	wall (U+58BB)	e5a2bb
墼	U+58BC (U+58BC)	e5a2bc
墽	U+58BD (U+58BD)	e5a2bd
墾	cultivate, reclaim, to farm land (U+58BE)	e5a2be
墿	U+58BF (U+58BF)	e5a2bf
壀	U+58C0 (U+58C0)	e5a380
壁	partition wall; walls of a house (U+58C1)	e5a381
壂	U+58C2 (U+58C2)	e5a382
壃	U+58C3 (U+58C3)	e5a383
壄	U+58C4 (U+58C4)	e5a384
壅	to obstruct (U+58C5)	e5a385
壆	stiff, hard clay or rocky strata; crack in a jar (U+58C6)	e5a386
壇	altar; arena, examination hall (U+58C7)	e5a387
壈	disappointed (U+58C8)	e5a388
壉	U+58C9 (U+58C9)	e5a389
壊	bad, spoil(ed), ruin, destroy (U+58CA)	e5a38a
壋	U+58CB (U+58CB)	e5a38b
壌	soil, loam, earth; rich (U+58CC)	e5a38c
壍	moat around a city. a channel (U+58CD)	e5a38d
壎	instrument (U+58CE)	e5a38e
壏	U+58CF (U+58CF)	e5a38f
壐	the Imperial signet; the great seal (U+58D0)	e5a390
壑	bed of torrent, narrow ravine (U+58D1)	e5a391
壒	dust (U+58D2)	e5a392
壓	press; oppress; crush; pressure (U+58D3)	e5a393
壔	a mound, a tumulus (U+58D4)	e5a394
壕	trench, ditch, channel, moat (U+58D5)	e5a395
壖	open space along water (U+58D6)	e5a396
壗	U+58D7 (U+58D7)	e5a397
壘	rampart, military wall (U+58D8)	e5a398
壙	tomb, grave: prairie; open wilderness (U+58D9)	e5a399
壚	black clods of earth; shop, hut (U+58DA)	e5a39a
壛	U+58DB (U+58DB)	e5a39b
壜	earthen jar or jug (U+58DC)	e5a39c
壝	a mound, an embankment the earthen altar to the god of the soil (U+58DD)	e5a39d
壞	bad, spoil(ed), ruin, destroy (U+58DE)	e5a39e
壟	grave, mound; ridge in field (U+58DF)	e5a39f
壠	mound, grave; ridge in field (U+58E0)	e5a3a0
壡	U+58E1 (U+58E1)	e5a3a1
壢	a hole, pit (U+58E2)	e5a3a2
壣	U+58E3 (U+58E3)	e5a3a3
壤	soil, loam, earth; rich (U+58E4)	e5a3a4
壥	U+58E5 (U+58E5)	e5a3a5
壦	U+58E6 (U+58E6)	e5a3a6
壧	U+58E7 (U+58E7)	e5a3a7
壨	U+58E8 (U+58E8)	e5a3a8
壩	embankment; dam (U+58E9)	e5a3a9
壪	U+58EA (U+58EA)	e5a3aa
士	scholar, gentleman; soldier (U+58EB)	e5a3ab
壬	9th heavenly stem (U+58EC)	e5a3ac
壭	kwukyel (U+58ED)	e5a3ad
壮	big, large; robust; name of tribe (U+58EE)	e5a3ae
壯	big, large; robust; name of tribe (U+58EF)	e5a3af
声	sound, voice, noise; tone; music (U+58F0)	e5a3b0
壱	number one (U+58F1)	e5a3b1
売	sell; [NOT casing, shell, husk] (U+58F2)	e5a3b2
壳	casing, shell, husk (U+58F3)	e5a3b3
壴	U+58F4 (U+58F4)	e5a3b4
壵	U+58F5 (U+58F5)	e5a3b5
壶	jar, pot, jug, vase; surname (U+58F6)	e5a3b6
壷	jar, pot, jug, vase; surname (U+58F7)	e5a3b7
壸	palace corridor or passageway (U+58F8)	e5a3b8
壹	number one (U+58F9)	e5a3b9
壺	jar, pot, jug, vase; surname (U+58FA)	e5a3ba
壻	son-in-law; husband (U+58FB)	e5a3bb
壼	palace corridor or passageway (U+58FC)	e5a3bc
壽	old age, long life; lifespan (U+58FD)	e5a3bd
壾	U+58FE (U+58FE)	e5a3be
壿	U+58FF (U+58FF)	e5a3bf
夀	life; length of life; longevity (U+5900)	e5a480
夁	U+5901 (U+5901)	e5a481
夂	go; KangXi radical 34 (U+5902)	e5a482
夃	U+5903 (U+5903)	e5a483
处	place, locale; department (U+5904)	e5a484
夅	to descend; to come down from heaven. to send down (U+5905)	e5a485
夆	resist (U+5906)	e5a486
备	prepare, ready, perfect (U+5907)	e5a487
夈	U+5908 (U+5908)	e5a488
変	change, transform, alter; rebel (U+5909)	e5a489
夊	KangXi radical 35; go slowly (U+590A)	e5a48a
夋	to dawdle; the emperor Yao's father (U+590B)	e5a48b
夌	to dawdle; the name of the father of the Emperor Yao (U+590C)	e5a48c
复	return; repeat; repeatedly (U+590D)	e5a48d
夎	U+590E (U+590E)	e5a48e
夏	summer; great, grand, big (U+590F)	e5a48f
夐	long, faraway; pre-eminent (U+5910)	e5a490
夑	U+5911 (U+5911)	e5a491
夒	U+5912 (U+5912)	e5a492
夓	U+5913 (U+5913)	e5a493
