钗	ornamental hairpin (U+9497)	e99297
钘	ancient wine vessel (U+9498)	e99298
钙	calcium (U+9499)	e99299
钚	plutonium (U+949A)	e9929a
钛	titanium (U+949B)	e9929b
钜	steel, iron; great (U+949C)	e9929c
钝	blunt, obtuse; dull; flat; dull-witted (U+949D)	e9929d
钞	paper money, bank notes; copy (U+949E)	e9929e
钟	clock; bell (U+949F)	e9929f
钠	sodium, natrium; sharpen wood (U+94A0)	e992a0
钡	barium (U+94A1)	e992a1
钢	steel; hard, strong, tough (U+94A2)	e992a2
钣	plate (U+94A3)	e992a3
钤	lock, latch; stamp, seal (U+94A4)	e992a4
钥	key; lock (U+94A5)	e992a5
钦	respect, admire; respectful (U+94A6)	e992a6
钧	unit of measure equivalent to thirty catties (U+94A7)	e992a7
钨	tungsten, wolfram (U+94A8)	e992a8
钩	hook, barb; sickle; stroke with (U+94A9)	e992a9
钪	scandium (U+94AA)	e992aa
钫	francium (U+94AB)	e992ab
钬	holmium (U+94AC)	e992ac
钭	a wine flagon (U+94AD)	e992ad
钮	button, knob; surname (U+94AE)	e992ae
钯	palladium (U+94AF)	e992af
钰	rare treasure (U+94B0)	e992b0
钱	money, currency, coins (U+94B1)	e992b1
钲	kind of gong used in ancient times by troops on the march (U+94B2)	e992b2
钳	pincers, pliers, tongs; to compress (U+94B3)	e992b3
钴	cobalt; household iron (U+94B4)	e992b4
钵	earthenware basin; alms bowl (U+94B5)	e992b5
钶	columbium (U+94B6)	e992b6
钷	promethium (U+94B7)	e992b7
钸	plutonium (U+94B8)	e992b8
钹	cymbals (U+94B9)	e992b9
钺	broad-axe, a battle axe, halberd (U+94BA)	e992ba
钻	drill, bore; pierce; diamond (U+94BB)	e992bb
钼	molybdenum (U+94BC)	e992bc
钽	tantalum (U+94BD)	e992bd
钾	potassium (U+94BE)	e992be
钿	hairpin; gold inlaid work, filigree (U+94BF)	e992bf
铀	uranium (U+94C0)	e99380
铁	iron; strong, solid, firm (U+94C1)	e99381
铂	platinum; thin sheet of metal (U+94C2)	e99382
铃	bell (U+94C3)	e99383
铄	melt, smelt; shine (U+94C4)	e99384
铅	lead (U+94C5)	e99385
铆	rivet (U+94C6)	e99386
铇	carpenter's plane (U+94C7)	e99387
铈	cerium (U+94C8)	e99388
铉	device for carrying a tripod (U+94C9)	e99389
铊	thallium (U+94CA)	e9938a
铋	bismuth (U+94CB)	e9938b
铌	niobium (U+94CC)	e9938c
铍	beryllium (U+94CD)	e9938d
铎	bell; surname (U+94CE)	e9938e
铏	sacrificial cauldron (U+94CF)	e9938f
铐	shackles, manacles (U+94D0)	e99390
铑	rhodium (U+94D1)	e99391
铒	erbium (U+94D2)	e99392
铓	point of sword; sharp point (U+94D3)	e99393
铔	soft steel; ammonium (U+94D4)	e99394
铕	europium (U+94D5)	e99395
铖	person's name (U+94D6)	e99396
铗	tongs, pincers; dagger; sword (U+94D7)	e99397
铘	sword (U+94D8)	e99398
铙	cymbals; hand bell; disturb (U+94D9)	e99399
铚	a sickle (U+94DA)	e9939a
铛	frying pan; warming vessel (U+94DB)	e9939b
铜	copper, brass, bronze (U+94DC)	e9939c
铝	aluminum (U+94DD)	e9939d
铞	U+94DE (U+94DE)	e9939e
铟	indium (U+94DF)	e9939f
铠	armor, chain mail (U+94E0)	e993a0
铡	sickle for cutting grass or hay (U+94E1)	e993a1
铢	unit of weight, one twenty-fourth of a Chinese ounce (liang) (U+94E2)	e993a2
铣	mill (U+94E3)	e993a3
铤	ingots, bars of metal; hurry (U+94E4)	e993a4
铥	thulium (U+94E5)	e993a5
铦	sharp, keen-edged; a kind of hoe (U+94E6)	e993a6
铧	spade, shovel, plowshare (U+94E7)	e993a7
铨	weigh, measure; select officials (U+94E8)	e993a8
铩	moult (U+94E9)	e993a9
铪	hafnium (U+94EA)	e993aa
铫	large hoe; surname; a spear (U+94EB)	e993ab
铬	chromium (U+94EC)	e993ac
铭	inscribe, engrave (U+94ED)	e993ad
铮	clanging sound; small gong (U+94EE)	e993ae
铯	cesium (U+94EF)	e993af
铰	hinge; shears, scissors (U+94F0)	e993b0
铱	iridium (U+94F1)	e993b1
铲	spade, shovel, trowel, scoop (U+94F2)	e993b2
铳	ancient weapon, blunderbuss (U+94F3)	e993b3
铴	gong (U+94F4)	e993b4
铵	ammonium (U+94F5)	e993b5
银	silver; cash, money, wealth (U+94F6)	e993b6
铷	rubidium (U+94F7)	e993b7
铸	melt, cast; coin, mint (U+94F8)	e993b8
铹	lawrencium (Lr) (U+94F9)	e993b9
铺	shop, store; place sleep, bed (U+94FA)	e993ba
铻	misfit; disordant; music instrument; hoe (U+94FB)	e993bb
铼	rhenium (U+94FC)	e993bc
铽	terbium (U+94FD)	e993bd
链	chain, wire, cable; chain, shack (U+94FE)	e993be
铿	strike, beat, stroke; jingling (U+94FF)	e993bf
销	melt, fuse; market, sell (U+9500)	e99480
锁	lock, padlock; shackles, chains (U+9501)	e99481
锂	lithium (U+9502)	e99482
锃	polish (U+9503)	e99483
锄	hoe; eradicate (U+9504)	e99484
锅	cooking-pot, saucepan (U+9505)	e99485
锆	zirconium (U+9506)	e99486
锇	osmium (U+9507)	e99487
锈	rust, corrode (U+9508)	e99488
锉	carpenter's file, file smooth (U+9509)	e99489
锊	6 oz; ancient measurement (U+950A)	e9948a
锋	point of spear, sharp point (U+950B)	e9948b
锌	zinc (U+950C)	e9948c
锍	U+950D (U+950D)	e9948d
锎	caesium (U+950E)	e9948e
锏	kind of rapier (U+950F)	e9948f
锐	sharp, keen, acute, pointed (U+9510)	e99490
锑	antimony (U+9511)	e99491
锒	lock (U+9512)	e99492
锓	carve (U+9513)	e99493
锔	curium (U+9514)	e99494
锕	actinium (Ac) (U+9515)	e99495
锖	the color of the a mineral (U+9516)	e99496
锗	germanium (U+9517)	e99497
锘	nobelium (No) (U+9518)	e99498
错	error, blunder, mistake; wrong (U+9519)	e99499
锚	anchor (U+951A)	e9949a
锛	adze (U+951B)	e9949b
锜	a kind of pen; a kind of chisel (U+951C)	e9949c
锝	technetium (U+951D)	e9949d
锞	ingot; acrobatic move (U+951E)	e9949e
锟	ancient treasured sword (U+951F)	e9949f
